,weekday,SM1_Index_PX-LAST-CHF,SM1_Index_start,SM1_Index_weeklyReturn,ES1_Index_PX-LAST-CHF,ES1_Index_start,ES1_Index_weeklyReturn,PT1_Index_PX-LAST-CHF,PT1_Index_start,PT1_Index_weeklyReturn,VG1_Index_PX-LAST-CHF,VG1_Index_start,VG1_Index_weeklyReturn,Z 1_Index_PX-LAST-CHF,Z 1_Index_start,Z 1_Index_weeklyReturn,GX1_Index_PX-LAST-CHF,GX1_Index_start,GX1_Index_weeklyReturn,ST1_Index_PX-LAST-CHF,ST1_Index_start,ST1_Index_weeklyReturn,CF1_Index_PX-LAST-CHF,CF1_Index_start,CF1_Index_weeklyReturn,OI1_Index_PX-LAST-CHF,OI1_Index_start,OI1_Index_weeklyReturn,QC1_Index_PX-LAST-CHF,QC1_Index_start,QC1_Index_weeklyReturn,ATT1_Index_PX-LAST-CHF,ATT1_Index_start,ATT1_Index_weeklyReturn,BE1_Index_PX-LAST-CHF,BE1_Index_start,BE1_Index_weeklyReturn,EO1_Index_PX-LAST-CHF,EO1_Index_start,EO1_Index_weeklyReturn,OT1_Index_PX-LAST-CHF,OT1_Index_start,OT1_Index_weeklyReturn,XP1_Index_PX-LAST-CHF,XP1_Index_start,XP1_Index_weeklyReturn,TP1_Index_PX-LAST-CHF,TP1_Index_start,TP1_Index_weeklyReturn,NI1_Index_PX-LAST-CHF,NI1_Index_start,NI1_Index_weeklyReturn,HI1_Index_PX-LAST-CHF,HI1_Index_start,HI1_Index_weeklyReturn,IH1_Index_PX-LAST-CHF,IH1_Index_start,IH1_Index_weeklyReturn,MES1_Index_PX-LAST-CHF,MES1_Index_start,MES1_Index_weeklyReturn,BZ1_Index_PX-LAST-CHF,BZ1_Index_start,BZ1_Index_weeklyReturn
1997-08-15,Friday,,excluded,,,excluded,,,excluded,,,excluded,,10201.5933,start,,11962.56483,start,,,excluded,,,excluded,,57.63178,start,,,excluded,,,excluded,,,excluded,,479.01877,start,,,excluded,,,excluded,,12.4561,start,,180.46927,start,,2087.42387,start,,,excluded,,,excluded,,265151.27738,start,
1997-08-16,Saturday,,excluded,,,excluded,,,excluded,,,excluded,,10201.5933,,,11962.56483,,,,excluded,,,excluded,,57.63178,,,,excluded,,,excluded,,,excluded,,479.01877,,,,excluded,,,excluded,,12.4561,,,180.46927,,,2087.42387,,,,excluded,,,excluded,,265151.27738,,
1997-08-17,Sunday,,excluded,,,excluded,,,excluded,,,excluded,,10201.5933,,,11962.56483,,,,excluded,,,excluded,,57.63178,,,,excluded,,,excluded,,,excluded,,479.01877,,,,excluded,,,excluded,,12.4561,,,180.46927,,,2087.42387,,,,excluded,,,excluded,,265151.27738,,
1997-08-18,Monday,,excluded,,,excluded,,,excluded,,,excluded,,10243.61898,,,12018.27926,,,,excluded,,,excluded,,57.10735,,,,excluded,,,excluded,,,excluded,,490.19602,,,,excluded,,,excluded,,12.37501,,,177.31331,,,2087.42387,,,,excluded,,,excluded,,261338.44079,,
1997-08-19,Tuesday,,excluded,,,excluded,,,excluded,,,excluded,,10455.03727,,,12271.18597,,,,excluded,,,excluded,,57.51311,,,,excluded,,,excluded,,,excluded,,507.08034,,,,excluded,,,excluded,,12.24358,,,176.23293,,,2042.40159,,,,excluded,,,excluded,,262951.30626,,
1997-08-20,Wednesday,,excluded,,,excluded,,,excluded,,,excluded,,10535.62415,,,12461.11607,,,,excluded,,,excluded,,57.51311,,,,excluded,,,excluded,,,excluded,,511.57637,,,,excluded,,,excluded,,12.44327,,,180.36412,,,2111.88318,,,,excluded,,,excluded,,254437.82212,,
1997-08-21,Thursday,,excluded,,,excluded,,,excluded,,,excluded,,10459.72454,,,12322.09395,,,,excluded,,,excluded,,57.14931,,,,excluded,,,excluded,,,excluded,,503.56297,,,,excluded,,,excluded,,12.349,,,179.00494,,,2063.58137,,,,excluded,,,excluded,,260433.73311,,
1997-08-22,Friday,,excluded,,,excluded,,,excluded,,,excluded,,10286.18638,start,0.008292143934026337,11992.34578,start,0.00248951210908508,,excluded,,3481.61557,start,,56.14569,start,-0.02578594657322743,,excluded,,,excluded,,2577.70225,start,,485.52622,start,0.013584958267919242,,excluded,,,excluded,,11.93294,start,-0.04200030507141071,173.24764,start,-0.04001584314049702,1993.77313,start,-0.04486426611572667,,excluded,,,excluded,,257579.51991,start,-0.028556368065874194
1997-08-23,Saturday,,excluded,,,excluded,,,excluded,,,excluded,,10286.18638,,,11992.34578,,,,excluded,,3481.61557,,,56.14569,,,,excluded,,,excluded,,2577.70225,,,485.52622,,,,excluded,,,excluded,,11.93294,,,173.24764,,,1993.77313,,,,excluded,,,excluded,,257579.51991,,
1997-08-24,Sunday,,excluded,,,excluded,,,excluded,,,excluded,,10286.18638,,,11992.34578,,,,excluded,,3481.61557,,,56.14569,,,,excluded,,,excluded,,2577.70225,,,485.52622,,,,excluded,,,excluded,,11.93294,,,173.24764,,,1993.77313,,,,excluded,,,excluded,,257579.51991,,
