date,weekday,HO1_Comdty_PX-LAST-CHF,imputed,HO1_Comdty_start
1997-08-15,Friday,0.83124,,start
1997-08-16,Saturday,0.83124,imputed from 0,
1997-08-17,Sunday,0.83124,imputed from 1,
1997-08-18,Monday,0.83164,,
1997-08-19,Tuesday,0.84512,,
1997-08-20,Wednesday,0.84083,,
1997-08-21,Thursday,0.81076,,
1997-08-22,Friday,0.79843,,start
1997-08-23,Saturday,0.79843,imputed from 7,
1997-08-24,Sunday,0.79843,imputed from 8,
1997-08-25,Monday,0.78222,,
1997-08-26,Tuesday,0.77401,,
1997-08-27,Wednesday,0.79666,,
1997-08-28,Thursday,0.7782,,
1997-08-29,Friday,0.77438,,start
1997-08-30,Saturday,0.77438,imputed from 14,
1997-08-31,Sunday,0.77438,imputed from 15,
1997-09-01,Monday,0.77438,imputed from 16,
1997-09-02,Tuesday,0.80319,,
1997-09-03,Wednesday,0.80025,,
1997-09-04,Thursday,0.786,,
1997-09-05,Friday,0.79412,,start
1997-09-06,Saturday,0.79412,imputed from 21,
1997-09-07,Sunday,0.79412,imputed from 22,
1997-09-08,Monday,0.78918,,
1997-09-09,Tuesday,0.78664,,
1997-09-10,Wednesday,0.76277,,
1997-09-11,Thursday,0.76716,,
1997-09-12,Friday,0.77109,,start
1997-09-13,Saturday,0.77109,imputed from 28,
1997-09-14,Sunday,0.77109,imputed from 29,
1997-09-15,Monday,0.75813,,
1997-09-16,Tuesday,0.78109,,
1997-09-17,Wednesday,0.78078,,
1997-09-18,Thursday,0.7837,,
1997-09-19,Friday,0.78069,,start
1997-09-20,Saturday,0.78069,imputed from 35,
1997-09-21,Sunday,0.78069,imputed from 36,
1997-09-22,Monday,0.80721,,
1997-09-23,Tuesday,0.80446,,
1997-09-24,Wednesday,0.80579,,
1997-09-25,Thursday,0.82296,,
1997-09-26,Friday,0.84233,,start
1997-09-27,Saturday,0.84233,imputed from 42,
1997-09-28,Sunday,0.84233,imputed from 43,
1997-09-29,Monday,0.84599,,
1997-09-30,Tuesday,0.84027,,
1997-10-01,Wednesday,0.84975,,
1997-10-02,Thursday,0.87069,,
1997-10-03,Friday,0.8979,,start
1997-10-04,Saturday,0.8979,imputed from 49,
1997-10-05,Sunday,0.8979,imputed from 50,
1997-10-06,Monday,0.8658,,
1997-10-07,Tuesday,0.86217,,
1997-10-08,Wednesday,0.87112,,
1997-10-09,Thursday,0.8741,,
1997-10-10,Friday,0.87293,,start
1997-10-11,Saturday,0.87293,imputed from 56,
1997-10-12,Sunday,0.87293,imputed from 57,
1997-10-13,Monday,0.85202,,
1997-10-14,Tuesday,0.83257,,
1997-10-15,Wednesday,0.83263,,
1997-10-16,Thursday,0.84503,,
1997-10-17,Friday,0.84699,,start
1997-10-18,Saturday,0.84699,imputed from 63,
1997-10-19,Sunday,0.84699,imputed from 64,
1997-10-20,Monday,0.85175,,
1997-10-21,Tuesday,0.85866,,
1997-10-22,Wednesday,0.8695,,
1997-10-23,Thursday,0.85084,,
1997-10-24,Friday,0.83589,,start
1997-10-25,Saturday,0.83589,imputed from 70,
1997-10-26,Sunday,0.83589,imputed from 71,
1997-10-27,Monday,0.83914,,
1997-10-28,Tuesday,0.80287,,
1997-10-29,Wednesday,0.81021,,
1997-10-30,Thursday,0.81589,,
1997-10-31,Friday,0.80803,,start
1997-11-01,Saturday,0.80803,imputed from 77,
1997-11-02,Sunday,0.80803,imputed from 78,
1997-11-03,Monday,0.82886,,
1997-11-04,Tuesday,0.81586,,
1997-11-05,Wednesday,0.80567,,
1997-11-06,Thursday,0.8089,,
1997-11-07,Friday,0.80838,,start
1997-11-08,Saturday,0.80838,imputed from 84,
1997-11-09,Sunday,0.80838,imputed from 85,
1997-11-10,Monday,0.79545,,
1997-11-11,Tuesday,0.80555,,
1997-11-12,Wednesday,0.81001,,
1997-11-13,Thursday,0.81863,,
1997-11-14,Friday,0.83564,,start
1997-11-15,Saturday,0.83564,imputed from 91,
1997-11-16,Sunday,0.83564,imputed from 92,
1997-11-17,Monday,0.81528,,
1997-11-18,Tuesday,0.80844,,
1997-11-19,Wednesday,0.79616,,
1997-11-20,Thursday,0.78257,,
1997-11-21,Friday,0.78599,,start
1997-11-22,Saturday,0.78599,imputed from 98,
1997-11-23,Sunday,0.78599,imputed from 99,
1997-11-24,Monday,0.78174,,
1997-11-25,Tuesday,0.78063,,
1997-11-26,Wednesday,0.75296,,
1997-11-27,Thursday,0.75296,imputed from 103,
1997-11-28,Friday,0.75296,imputed from 103,start
1997-11-29,Saturday,0.75296,imputed from 105,
1997-11-30,Sunday,0.75296,imputed from 106,
1997-12-01,Monday,0.75497,,
1997-12-02,Tuesday,0.76286,,
1997-12-03,Wednesday,0.76318,,
1997-12-04,Thursday,0.76392,,
1997-12-05,Friday,0.76776,,start
1997-12-06,Saturday,0.76776,imputed from 112,
1997-12-07,Sunday,0.76776,imputed from 113,
1997-12-08,Monday,0.77925,,
1997-12-09,Tuesday,0.77476,,
1997-12-10,Wednesday,0.74561,,
1997-12-11,Thursday,0.73393,,
1997-12-12,Friday,0.74274,,start
1997-12-13,Saturday,0.74274,imputed from 119,
1997-12-14,Sunday,0.74274,imputed from 120,
1997-12-15,Monday,0.73737,,
1997-12-16,Tuesday,0.74419,,
1997-12-17,Wednesday,0.74253,,
1997-12-18,Thursday,0.75838,,
1997-12-19,Friday,0.74402,,start
1997-12-20,Saturday,0.74402,imputed from 126,
1997-12-21,Sunday,0.74402,imputed from 127,
1997-12-22,Monday,0.73554,,
1997-12-23,Tuesday,0.72706,,
1997-12-24,Wednesday,0.72737,,
1997-12-25,Thursday,0.72737,imputed from 131,
1997-12-26,Friday,0.71702,,start
1997-12-27,Saturday,0.71702,imputed from 133,
1997-12-28,Sunday,0.71702,imputed from 134,
1997-12-29,Monday,0.71136,,
1997-12-30,Tuesday,0.71915,,
1997-12-31,Wednesday,0.7176,,
1998-01-01,Thursday,0.7176,imputed from 138,
1998-01-02,Friday,0.72035,,start
1998-01-03,Saturday,0.72035,imputed from 140,
1998-01-04,Sunday,0.72035,imputed from 141,
1998-01-05,Monday,0.71233,,
1998-01-06,Tuesday,0.70699,,
1998-01-07,Wednesday,0.69935,,
1998-01-08,Thursday,0.70269,,
1998-01-09,Friday,0.68948,,start
1998-01-10,Saturday,0.68948,imputed from 147,
1998-01-11,Sunday,0.68948,imputed from 148,
1998-01-12,Monday,0.68275,,
1998-01-13,Tuesday,0.68052,,
1998-01-14,Wednesday,0.6861,,
1998-01-15,Thursday,0.69137,,
1998-01-16,Friday,0.70036,,start
1998-01-17,Saturday,0.70036,imputed from 154,
1998-01-18,Sunday,0.70036,imputed from 155,
