date,weekday,QC1_Index_PX-LAST-CHF,imputed,QC1_Index_start
2005-02-14,Monday,,,excluded
2005-02-15,Tuesday,,,excluded
2005-02-16,Wednesday,,,excluded
2005-02-17,Thursday,,,excluded
2005-02-18,Friday,128.80406,,start
2005-02-19,Saturday,128.80406,imputed from 4,
2005-02-20,Sunday,128.80406,imputed from 5,
2005-02-21,Monday,129.34133,,
2005-02-22,Tuesday,128.35943,,
2005-02-23,Wednesday,128.72313,,
2005-02-24,Thursday,130.06155,,
2005-02-25,Friday,131.25391,,start
2005-02-26,Saturday,131.25391,imputed from 11,
2005-02-27,Sunday,131.25391,imputed from 12,
2005-02-28,Monday,130.73841,,
2005-03-01,Tuesday,131.3106,,
2005-03-02,Wednesday,131.89043,,
2005-03-03,Thursday,133.19396,,
2005-03-04,Friday,134.14309,,start
2005-03-05,Saturday,134.14309,imputed from 18,
2005-03-06,Sunday,134.14309,imputed from 19,
2005-03-07,Monday,134.28585,,
2005-03-08,Tuesday,133.34169,,
2005-03-09,Wednesday,133.23124,,
2005-03-10,Thursday,130.97619,,
2005-03-11,Friday,131.68885,,start
2005-03-12,Saturday,131.68885,imputed from 25,
2005-03-13,Sunday,131.68885,imputed from 26,
2005-03-14,Monday,132.17896,,
2005-03-15,Tuesday,132.85432,,
2005-03-16,Wednesday,130.37552,,
2005-03-17,Thursday,130.42096,,
2005-03-18,Friday,129.94512,,start
2005-03-19,Saturday,129.94512,imputed from 32,
2005-03-20,Sunday,129.94512,imputed from 33,
2005-03-21,Monday,129.10055,,
2005-03-22,Tuesday,128.80605,,
2005-03-23,Wednesday,129.21557,,
2005-03-24,Thursday,129.71917,,
2005-03-25,Friday,129.71917,imputed from 38,start
2005-03-26,Saturday,129.71917,imputed from 39,
2005-03-27,Sunday,129.71917,imputed from 40,
2005-03-28,Monday,129.71917,imputed from 41,
2005-03-29,Tuesday,129.64261,,
2005-03-30,Wednesday,128.74325,,
2005-03-31,Thursday,128.74579,,
2005-04-01,Friday,130.0842,,start
2005-04-02,Saturday,130.0842,imputed from 46,
2005-04-03,Sunday,130.0842,imputed from 47,
2005-04-04,Monday,129.6394,,
2005-04-05,Tuesday,130.58765,,
2005-04-06,Wednesday,131.74624,,
2005-04-07,Thursday,132.03504,,
2005-04-08,Friday,132.24667,,start
2005-04-09,Saturday,132.24667,imputed from 53,
2005-04-10,Sunday,132.24667,imputed from 54,
2005-04-11,Monday,132.82763,,
2005-04-12,Tuesday,132.52181,,
2005-04-13,Wednesday,133.69586,,
2005-04-14,Thursday,134.4212,,
2005-04-15,Friday,132.46005,,start
2005-04-16,Saturday,132.46005,imputed from 60,
2005-04-17,Sunday,132.46005,imputed from 61,
2005-04-18,Monday,129.43185,,
2005-04-19,Tuesday,129.61139,,
2005-04-20,Wednesday,129.57294,,
2005-04-21,Thursday,128.98405,,
2005-04-22,Friday,131.52463,,start
2005-04-23,Saturday,131.52463,imputed from 67,
2005-04-24,Sunday,131.52463,imputed from 68,
2005-04-25,Monday,131.5295,,
2005-04-26,Tuesday,130.54961,,
2005-04-27,Wednesday,127.29645,,
2005-04-28,Thursday,125.19131,,
2005-04-29,Friday,125.03584,,start
2005-04-30,Saturday,125.03584,imputed from 74,
2005-05-01,Sunday,125.03584,imputed from 75,
2005-05-02,Monday,126.4997,,
2005-05-03,Tuesday,127.05318,,
2005-05-04,Wednesday,127.48206,,
2005-05-05,Thursday,127.48206,imputed from 79,
2005-05-06,Friday,129.54892,,start
2005-05-07,Saturday,129.54892,imputed from 81,
2005-05-08,Sunday,129.54892,imputed from 82,
2005-05-09,Monday,129.67476,,
2005-05-10,Tuesday,128.35888,,
2005-05-11,Wednesday,127.55183,,
2005-05-12,Thursday,129.04044,,
2005-05-13,Friday,130.23201,,start
2005-05-14,Saturday,130.23201,imputed from 88,
2005-05-15,Sunday,130.23201,imputed from 89,
2005-05-16,Monday,129.60593,,
2005-05-17,Tuesday,130.12942,,
2005-05-18,Wednesday,131.32407,,
2005-05-19,Thursday,131.84716,,
2005-05-20,Friday,132.78851,,start
2005-05-21,Saturday,132.78851,imputed from 95,
2005-05-22,Sunday,132.78851,imputed from 96,
2005-05-23,Monday,132.47728,,
2005-05-24,Tuesday,132.32848,,
2005-05-25,Wednesday,131.86453,,
2005-05-26,Thursday,133.2967,,
2005-05-27,Friday,133.30332,,start
2005-05-28,Saturday,133.30332,imputed from 102,
2005-05-29,Sunday,133.30332,imputed from 103,
2005-05-30,Monday,133.85931,,
2005-05-31,Tuesday,133.4059,,
2005-06-01,Wednesday,133.28456,,
2005-06-02,Thursday,133.06562,,
2005-06-03,Friday,132.43151,,start
2005-06-04,Saturday,132.43151,imputed from 109,
2005-06-05,Sunday,132.43151,imputed from 110,
2005-06-06,Monday,132.43151,imputed from 111,
2005-06-07,Tuesday,133.06929,,
2005-06-08,Wednesday,133.1688,,
2005-06-09,Thursday,132.68645,,
2005-06-10,Friday,133.31862,,start
2005-06-11,Saturday,133.31862,imputed from 116,
2005-06-12,Sunday,133.31862,imputed from 117,
2005-06-13,Monday,132.95239,,
2005-06-14,Tuesday,134.02396,,
2005-06-15,Wednesday,133.41769,,
2005-06-16,Thursday,134.41655,,
2005-06-17,Friday,135.78487,,start
2005-06-18,Saturday,135.78487,imputed from 123,
