date,weekday,IK1_Comdty_PX-LAST,IK1_Comdty_CURRENCY-EUR,IK1_Comdty_PX-LAST-CHF,imputed,IK1_Comdty_start
2009-09-14,Monday,,1.51256,,,excluded
2009-09-15,Tuesday,,1.51684,,,excluded
2009-09-16,Wednesday,,1.518,,,excluded
2009-09-17,Thursday,,1.51596,,,excluded
2009-09-18,Friday,114.72,1.51465,173.760648,,start
2009-09-19,Saturday,,,173.760648,imputed from 4,
2009-09-20,Sunday,,,173.760648,imputed from 5,
2009-09-21,Monday,114.49,1.5154,173.498146,,
2009-09-22,Tuesday,114.41,1.5143,173.251063,,
2009-09-23,Wednesday,114.4,1.51292,173.07804800000002,,
2009-09-24,Thursday,114.98,1.50985,173.602553,,
2009-09-25,Friday,115.32,1.50935,174.05824199999998,,start
2009-09-26,Saturday,,,174.05824199999998,imputed from 11,
2009-09-27,Sunday,,,174.05824199999998,imputed from 12,
2009-09-28,Monday,115.29,1.50972,174.0556188,,
2009-09-29,Tuesday,115.34,1.5114,174.32487600000002,,
2009-09-30,Wednesday,115.3,1.51675,174.881275,,
2009-10-01,Thursday,115.25,1.51392,174.47928,,
2009-10-02,Friday,115.74,1.50913,174.6667062,,start
2009-10-03,Saturday,,,174.6667062,imputed from 18,
2009-10-04,Sunday,,,174.6667062,imputed from 19,
2009-10-05,Monday,116.0,1.51212,175.40591999999998,,
2009-10-06,Tuesday,115.91,1.51171,175.2223061,,
2009-10-07,Wednesday,116.3,1.51751,176.486413,,
2009-10-08,Thursday,116.46,1.51772,176.75367119999999,,
2009-10-09,Friday,115.89,1.51944,176.08790159999998,,start
2009-10-10,Saturday,,,176.08790159999998,imputed from 25,
2009-10-11,Sunday,,,176.08790159999998,imputed from 26,
2009-10-12,Monday,115.98,1.51715,175.959057,,
2009-10-13,Tuesday,115.86,1.51754,175.8221844,,
2009-10-14,Wednesday,115.45,1.51505,174.9125225,,
2009-10-15,Thursday,114.88,1.51645,174.209776,,
2009-10-16,Friday,115.03,1.51775,174.5867825,,start
2009-10-17,Saturday,,,174.5867825,imputed from 32,
2009-10-18,Sunday,,,174.5867825,imputed from 33,
2009-10-19,Monday,115.15,1.51352,174.28182800000002,,
2009-10-20,Tuesday,115.72,1.51183,174.9489676,,
2009-10-21,Wednesday,115.2,1.51044,174.002688,,
2009-10-22,Thursday,115.28,1.51015,174.09009200000003,,
2009-10-23,Friday,114.94,1.51392,174.00996479999998,,start
2009-10-24,Saturday,,,174.00996479999998,imputed from 39,
2009-10-25,Sunday,,,174.00996479999998,imputed from 40,
2009-10-26,Monday,115.04,1.51449,174.2269296,,
2009-10-27,Tuesday,115.81,1.5127,175.185787,,
2009-10-28,Wednesday,115.95,1.51046,175.137837,,
2009-10-29,Thursday,115.46,1.51058,174.4115668,,
2009-10-30,Friday,116.09,1.51079,175.38761110000002,,start
2009-10-31,Saturday,,,175.38761110000002,imputed from 46,
2009-11-01,Sunday,,,175.38761110000002,imputed from 47,
2009-11-02,Monday,116.23,1.5097,175.472431,,
2009-11-03,Tuesday,116.07,1.51055,175.32953849999998,,
2009-11-04,Wednesday,115.82,1.51025,174.917155,,
2009-11-05,Thursday,115.74,1.5113,174.917862,,
2009-11-06,Friday,115.7,1.5105,174.76485,,start
2009-11-07,Saturday,,,174.76485,imputed from 53,
2009-11-08,Sunday,,,174.76485,imputed from 54,
2009-11-09,Monday,116.14,1.51165,175.563031,,
2009-11-10,Tuesday,116.64,1.51045,176.178888,,
2009-11-11,Wednesday,116.63,1.51041,176.1591183,,
2009-11-12,Thursday,116.52,1.51081,176.0395812,,
2009-11-13,Friday,116.1,1.50932,175.23205199999998,,start
2009-11-14,Saturday,,,175.23205199999998,imputed from 60,
2009-11-15,Sunday,,,175.23205199999998,imputed from 61,
2009-11-16,Monday,116.36,1.50857,175.5372052,,
2009-11-17,Tuesday,116.77,1.51155,176.5036935,,
2009-11-18,Wednesday,116.62,1.5111,176.22448200000002,,
2009-11-19,Thursday,116.51,1.51182,176.1421482,,
2009-11-20,Friday,116.48,1.51306,176.24122880000002,,start
2009-11-21,Saturday,,,176.24122880000002,imputed from 67,
2009-11-22,Sunday,,,176.24122880000002,imputed from 68,
2009-11-23,Monday,116.53,1.5112,176.10013600000002,,
2009-11-24,Tuesday,116.69,1.50991,176.1913979,,
2009-11-25,Wednesday,116.6,1.50827,175.864282,,
2009-11-26,Thursday,116.7,1.50625,175.77937500000002,,
2009-11-27,Friday,116.8,1.507,176.0176,,start
2009-11-28,Saturday,,,176.0176,imputed from 74,
2009-11-29,Sunday,,,176.0176,imputed from 75,
2009-11-30,Monday,117.06,1.50848,176.58266880000002,,
2009-12-01,Tuesday,117.38,1.50738,176.9362644,,
2009-12-02,Wednesday,117.5,1.50745,177.125375,,
2009-12-03,Thursday,117.43,1.50706,176.97405580000003,,
2009-12-04,Friday,117.28,1.51042,177.14205760000002,,start
2009-12-05,Saturday,,,177.14205760000002,imputed from 81,
2009-12-06,Sunday,,,177.14205760000002,imputed from 82,
2009-12-07,Monday,116.33,1.5116,175.844428,,
2009-12-08,Tuesday,116.19,1.5101,175.458519,,
2009-12-09,Wednesday,115.84,1.512,175.15008,,
2009-12-10,Thursday,115.67,1.51155,174.8409885,,
2009-12-11,Friday,115.65,1.51215,174.88014750000002,,start
2009-12-12,Saturday,,,174.88014750000002,imputed from 88,
2009-12-13,Sunday,,,174.88014750000002,imputed from 89,
2009-12-14,Monday,115.85,1.51204,175.169834,,
2009-12-15,Tuesday,115.62,1.51234,174.85675080000001,,
2009-12-16,Wednesday,115.92,1.50909,174.9337128,,
2009-12-17,Thursday,116.32,1.50205,174.718456,,
2009-12-18,Friday,116.22,1.49501,173.7500622,,start
2009-12-19,Saturday,,,173.7500622,imputed from 95,
2009-12-20,Sunday,,,173.7500622,imputed from 96,
2009-12-21,Monday,115.76,1.49385,172.928076,,
2009-12-22,Tuesday,115.77,1.495,173.07615,,
2009-12-23,Wednesday,115.73,1.4893,172.35668900000002,,
2009-12-24,Thursday,,1.49172,172.35668900000002,imputed from 100,
2009-12-25,Friday,115.73,1.49145,172.6055085,imputed from 100,start
2009-12-26,Saturday,,,172.6055085,imputed from 102,
2009-12-27,Sunday,,,172.6055085,imputed from 103,
2009-12-28,Monday,115.42,1.48787,171.7299554,,
2009-12-29,Tuesday,115.07,1.48795,171.21840650000001,,
2009-12-30,Wednesday,114.78,1.48637,170.6055486,,
2009-12-31,Thursday,,1.48365,170.6055486,imputed from 107,
2010-01-01,Friday,114.78,1.48365,170.29334699999998,imputed from 107,start
2010-01-02,Saturday,,,170.29334699999998,imputed from 109,
