date,weekday,DU1_Comdty_PX-LAST-CHF,imputed,DU1_Comdty_start
1997-08-15,Friday,103.47,,start
1997-08-16,Saturday,103.47,imputed from 0,
1997-08-17,Sunday,103.47,imputed from 1,
1997-08-18,Monday,103.64,,
1997-08-19,Tuesday,103.65,,
1997-08-20,Wednesday,103.49,,
1997-08-21,Thursday,103.47,,
1997-08-22,Friday,103.37,,start
1997-08-23,Saturday,103.37,imputed from 7,
1997-08-24,Sunday,103.37,imputed from 8,
1997-08-25,Monday,103.35,,
1997-08-26,Tuesday,103.39,,
1997-08-27,Wednesday,103.39,,
1997-08-28,Thursday,103.62,,
1997-08-29,Friday,103.51,,start
1997-08-30,Saturday,103.51,imputed from 14,
1997-08-31,Sunday,103.51,imputed from 15,
1997-09-01,Monday,103.54,,
1997-09-02,Tuesday,103.47,,
1997-09-03,Wednesday,103.44,,
1997-09-04,Thursday,103.49,,
1997-09-05,Friday,103.52,,start
1997-09-06,Saturday,103.52,imputed from 21,
1997-09-07,Sunday,103.52,imputed from 22,
1997-09-08,Monday,103.13,,
1997-09-09,Tuesday,103.19,,
1997-09-10,Wednesday,103.29,,
1997-09-11,Thursday,103.27,,
1997-09-12,Friday,103.24,,start
1997-09-13,Saturday,103.24,imputed from 28,
1997-09-14,Sunday,103.24,imputed from 29,
1997-09-15,Monday,103.08,,
1997-09-16,Tuesday,103.12,,
1997-09-17,Wednesday,103.12,,
1997-09-18,Thursday,103.13,,
1997-09-19,Friday,103.0,,start
1997-09-20,Saturday,103.0,imputed from 35,
1997-09-21,Sunday,103.0,imputed from 36,
1997-09-22,Monday,102.95,,
1997-09-23,Tuesday,103.06,,
1997-09-24,Wednesday,103.15,,
1997-09-25,Thursday,103.03,,
1997-09-26,Friday,102.99,,start
1997-09-27,Saturday,102.99,imputed from 42,
1997-09-28,Sunday,102.99,imputed from 43,
1997-09-29,Monday,102.99,,
1997-09-30,Tuesday,103.04,,
1997-10-01,Wednesday,103.05,,
1997-10-02,Thursday,103.06,,
1997-10-03,Friday,103.06,imputed from 48,start
1997-10-04,Saturday,103.06,imputed from 49,
1997-10-05,Sunday,103.06,imputed from 50,
1997-10-06,Monday,103.06,,
1997-10-07,Tuesday,103.07,,
1997-10-08,Wednesday,103.02,,
1997-10-09,Thursday,102.56,,
1997-10-10,Friday,102.51,,start
1997-10-11,Saturday,102.51,imputed from 56,
1997-10-12,Sunday,102.51,imputed from 57,
1997-10-13,Monday,102.58,,
1997-10-14,Tuesday,102.63,,
1997-10-15,Wednesday,102.46,,
1997-10-16,Thursday,102.29,,
1997-10-17,Friday,102.25,,start
1997-10-18,Saturday,102.25,imputed from 63,
1997-10-19,Sunday,102.25,imputed from 64,
1997-10-20,Monday,102.26,,
1997-10-21,Tuesday,102.2,,
1997-10-22,Wednesday,102.2,,
1997-10-23,Thursday,102.34,,
1997-10-24,Friday,102.55,,start
1997-10-25,Saturday,102.55,imputed from 70,
1997-10-26,Sunday,102.55,imputed from 71,
1997-10-27,Monday,102.58,,
1997-10-28,Tuesday,102.65,,
1997-10-29,Wednesday,102.75,,
1997-10-30,Thursday,102.83,,
1997-10-31,Friday,102.89,,start
1997-11-01,Saturday,102.89,imputed from 77,
1997-11-02,Sunday,102.89,imputed from 78,
1997-11-03,Monday,102.83,,
1997-11-04,Tuesday,102.81,,
1997-11-05,Wednesday,102.72,,
1997-11-06,Thursday,102.74,,
1997-11-07,Friday,102.74,,start
1997-11-08,Saturday,102.74,imputed from 84,
1997-11-09,Sunday,102.74,imputed from 85,
1997-11-10,Monday,102.65,,
1997-11-11,Tuesday,102.67,,
1997-11-12,Wednesday,102.61,,
1997-11-13,Thursday,102.78,,
1997-11-14,Friday,102.9,,start
1997-11-15,Saturday,102.9,imputed from 91,
1997-11-16,Sunday,102.9,imputed from 92,
1997-11-17,Monday,102.91,,
1997-11-18,Tuesday,102.85,,
1997-11-19,Wednesday,102.91,,
1997-11-20,Thursday,102.93,,
1997-11-21,Friday,102.87,,start
1997-11-22,Saturday,102.87,imputed from 98,
1997-11-23,Sunday,102.87,imputed from 99,
1997-11-24,Monday,102.92,,
1997-11-25,Tuesday,102.97,,
1997-11-26,Wednesday,102.95,,
1997-11-27,Thursday,102.94,,
1997-11-28,Friday,103.03,,start
1997-11-29,Saturday,103.03,imputed from 105,
1997-11-30,Sunday,103.03,imputed from 106,
1997-12-01,Monday,103.02,,
1997-12-02,Tuesday,103.0,,
1997-12-03,Wednesday,102.94,,
1997-12-04,Thursday,103.01,,
1997-12-05,Friday,102.97,,start
1997-12-06,Saturday,102.97,imputed from 112,
1997-12-07,Sunday,102.97,imputed from 113,
1997-12-08,Monday,102.51,,
1997-12-09,Tuesday,102.51,,
1997-12-10,Wednesday,102.53,,
1997-12-11,Thursday,102.77,,
1997-12-12,Friday,102.85,,start
1997-12-13,Saturday,102.85,imputed from 119,
1997-12-14,Sunday,102.85,imputed from 120,
1997-12-15,Monday,102.84,,
1997-12-16,Tuesday,102.83,,
1997-12-17,Wednesday,102.76,,
1997-12-18,Thursday,102.87,,
1997-12-19,Friday,103.06,,start
1997-12-20,Saturday,103.06,imputed from 126,
1997-12-21,Sunday,103.06,imputed from 127,
1997-12-22,Monday,103.08,,
1997-12-23,Tuesday,103.13,,
1997-12-24,Wednesday,103.13,imputed from 130,
1997-12-25,Thursday,103.13,imputed from 131,
1997-12-26,Friday,103.13,imputed from 130,start
1997-12-27,Saturday,103.13,imputed from 133,
1997-12-28,Sunday,103.13,imputed from 134,
1997-12-29,Monday,103.04,,
1997-12-30,Tuesday,102.95,,
1997-12-31,Wednesday,102.95,imputed from 137,
1998-01-01,Thursday,102.95,imputed from 138,
1998-01-02,Friday,102.96,,start
1998-01-03,Saturday,102.96,imputed from 140,
1998-01-04,Sunday,102.96,imputed from 141,
1998-01-05,Monday,103.07,,
1998-01-06,Tuesday,103.04,,
1998-01-07,Wednesday,103.09,,
1998-01-08,Thursday,103.33,,
1998-01-09,Friday,103.37,,start
1998-01-10,Saturday,103.37,imputed from 147,
1998-01-11,Sunday,103.37,imputed from 148,
1998-01-12,Monday,103.44,,
1998-01-13,Tuesday,103.46,,
1998-01-14,Wednesday,103.47,,
1998-01-15,Thursday,103.45,,
1998-01-16,Friday,103.54,,start
1998-01-17,Saturday,103.54,imputed from 154,
1998-01-18,Sunday,103.54,imputed from 155,
1998-01-19,Monday,103.52,,
1998-01-20,Tuesday,103.53,,
1998-01-21,Wednesday,103.45,,
1998-01-22,Thursday,103.42,,
1998-01-23,Friday,103.45,,start
1998-01-24,Saturday,103.45,imputed from 161,
1998-01-25,Sunday,103.45,imputed from 162,
1998-01-26,Monday,103.56,,
1998-01-27,Tuesday,103.53,,
1998-01-28,Wednesday,103.49,,
1998-01-29,Thursday,103.6,,
1998-01-30,Friday,103.58,,start
1998-01-31,Saturday,103.58,imputed from 168,
1998-02-01,Sunday,103.58,imputed from 169,
1998-02-02,Monday,103.54,,
1998-02-03,Tuesday,103.58,,
1998-02-04,Wednesday,103.49,,
1998-02-05,Thursday,103.47,,
1998-02-06,Friday,103.5,,start
1998-02-07,Saturday,103.5,imputed from 175,
1998-02-08,Sunday,103.5,imputed from 176,
1998-02-09,Monday,103.48,,
1998-02-10,Tuesday,103.51,,
1998-02-11,Wednesday,103.58,,
1998-02-12,Thursday,103.59,,
1998-02-13,Friday,103.58,,start
1998-02-14,Saturday,103.58,imputed from 182,
