date,weekday,WB1_Comdty_PX-LAST,WB1_Comdty_CURRENCY-GBP,WB1_Comdty_PX-LAST-CHF,imputed,WB1_Comdty_start
2009-11-23,Monday,,1.6773,,,excluded
2009-11-24,Tuesday,,1.6732,,,excluded
2009-11-25,Wednesday,,1.6646,,,excluded
2009-11-26,Thursday,,1.6578,,,excluded
2009-11-27,Friday,108.1,1.6597,179.41357,,start
2009-11-28,Saturday,,,179.41357,imputed from 4,
2009-11-29,Sunday,,,179.41357,imputed from 5,
2009-11-30,Monday,108.18,1.6529,178.81072200000003,,
2009-12-01,Tuesday,108.22,1.66,179.6452,,
2009-12-02,Wednesday,108.18,1.6663,180.260334,,
2009-12-03,Thursday,108.2,1.6559,179.16837999999998,,
2009-12-04,Friday,108.08,1.675,181.034,,start
2009-12-05,Saturday,,,181.034,imputed from 11,
2009-12-06,Sunday,,,181.034,imputed from 12,
2009-12-07,Monday,108.18,1.6768,181.39622400000002,,
2009-12-08,Tuesday,108.24,1.6728,181.063872,,
2009-12-09,Wednesday,108.33,1.6697,180.878601,,
2009-12-10,Thursday,108.21,1.6703,180.74316299999998,,
2009-12-11,Friday,108.09,1.6824,181.850616,,start
2009-12-12,Saturday,,,181.850616,imputed from 18,
2009-12-13,Sunday,,,181.850616,imputed from 19,
2009-12-14,Monday,108.14,1.6827,181.96717800000002,,
2009-12-15,Tuesday,108.06,1.6924,182.880744,,
2009-12-16,Wednesday,108.06,1.6963,183.302178,,
2009-12-17,Thursday,108.18,1.6922,183.062196,,
2009-12-18,Friday,108.3,1.6845,182.43135,,start
2009-12-19,Saturday,,,182.43135,imputed from 25,
2009-12-20,Sunday,,,182.43135,imputed from 26,
2009-12-21,Monday,108.17,1.6778,181.487626,,
2009-12-22,Tuesday,108.1,1.674,180.9594,,
2009-12-23,Wednesday,108.02,1.6578,179.07555599999998,,
2009-12-24,Thursday,107.99,1.6563,178.863837,,
2009-12-25,Friday,107.99,1.6541,178.62625899999998,imputed from 31,start
2009-12-26,Saturday,,,178.62625899999998,imputed from 32,
2009-12-27,Sunday,,,178.62625899999998,imputed from 33,
2009-12-28,Monday,107.99,1.6558,178.80984199999997,,
2009-12-29,Tuesday,107.92,1.6489,177.949288,,
2009-12-30,Wednesday,107.83,1.6667,179.720261,,
2009-12-31,Thursday,108.18,1.6739,181.082502,,
2010-01-01,Friday,108.18,1.6725,180.93105000000003,imputed from 38,start
2010-01-02,Saturday,,,180.93105000000003,imputed from 39,
2010-01-03,Sunday,,,180.93105000000003,imputed from 40,
2010-01-04,Monday,107.96,1.6565,178.83574,,
2010-01-05,Tuesday,107.97,1.6527,178.44201900000002,,
2010-01-06,Wednesday,108.05,1.6461,177.86110499999998,,
2010-01-07,Thursday,108.06,1.6474,178.018044,,
2010-01-08,Friday,108.06,1.6407,177.29404200000002,,start
2010-01-09,Saturday,,,177.29404200000002,imputed from 46,
2010-01-10,Sunday,,,177.29404200000002,imputed from 47,
2010-01-11,Monday,108.15,1.6381,177.160515,,
2010-01-12,Tuesday,108.21,1.6465,178.167765,,
2010-01-13,Wednesday,108.17,1.6577,179.313409,,
2010-01-14,Thursday,108.13,1.6641,179.93913299999997,,
2010-01-15,Friday,108.17,1.6677,180.395109,,start
2010-01-16,Saturday,,,180.395109,imputed from 53,
2010-01-17,Sunday,,,180.395109,imputed from 54,
2010-01-18,Monday,108.17,1.6748,181.163116,,
2010-01-19,Tuesday,107.94,1.6896,182.37542399999998,,
2010-01-20,Wednesday,107.94,1.7009,183.595146,,
2010-01-21,Thursday,108.12,1.6888,182.59305600000002,,
2010-01-22,Friday,108.07,1.6778,181.31984599999998,,start
2010-01-23,Saturday,,,181.31984599999998,imputed from 60,
2010-01-24,Sunday,,,181.31984599999998,imputed from 61,
2010-01-25,Monday,108.14,1.689,182.64846,,
2010-01-26,Tuesday,108.23,1.6893,182.832939,,
2010-01-27,Wednesday,108.23,1.698,183.77454,,
2010-01-28,Thursday,108.1,1.6979,183.54298999999997,,
2010-01-29,Friday,108.11,1.6957,183.322127,,start
2010-01-30,Saturday,,,183.322127,imputed from 67,
2010-01-31,Sunday,,,183.322127,imputed from 68,
2010-02-01,Monday,108.16,1.6857,182.325312,,
2010-02-02,Tuesday,108.21,1.685,182.33384999999998,,
2010-02-03,Wednesday,108.24,1.684,182.27615999999998,,
2010-02-04,Thursday,108.3,1.6809,182.04147,,
2010-02-05,Friday,108.36,1.6775,181.7739,,start
2010-02-06,Saturday,,,181.7739,imputed from 74,
2010-02-07,Sunday,,,181.7739,imputed from 75,
2010-02-08,Monday,108.25,1.6728,181.0806,,
2010-02-09,Tuesday,108.24,1.6722,180.99892799999998,,
2010-02-10,Wednesday,108.41,1.665,180.50265,,
2010-02-11,Thursday,108.31,1.6811,182.07994100000002,,
2010-02-12,Friday,108.35,1.6887,182.970645,,start
2010-02-13,Saturday,,,182.970645,imputed from 81,
2010-02-14,Sunday,,,182.970645,imputed from 82,
2010-02-15,Monday,108.28,1.6876,182.733328,,
2010-02-16,Tuesday,108.38,1.6835,182.45773,,
2010-02-17,Wednesday,108.4,1.6901,183.20684,,
2010-02-18,Thursday,108.41,1.6832,182.475712,,
2010-02-19,Friday,108.42,1.6642,180.43256399999999,,start
2010-02-20,Saturday,,,180.43256399999999,imputed from 88,
2010-02-21,Sunday,,,180.43256399999999,imputed from 89,
2010-02-22,Monday,108.5,1.6661,180.77185,,
2010-02-23,Tuesday,108.56,1.6717,181.479752,,
2010-02-24,Wednesday,107.14,1.6657,178.463098,,
2010-02-25,Thursday,107.23,1.6488,176.800824,,
2010-02-26,Friday,107.33,1.6355,175.53821499999998,,start
2010-02-27,Saturday,,,175.53821499999998,imputed from 95,
2010-02-28,Sunday,,,175.53821499999998,imputed from 96,
2010-03-01,Monday,107.18,1.6179,173.406522,,
2010-03-02,Tuesday,107.18,1.6091,172.46333800000002,,
2010-03-03,Wednesday,107.06,1.6123,172.612838,,
2010-03-04,Thursday,107.07,1.6192,173.367744,,
2010-03-05,Friday,106.99,1.6264,174.008536,,start
2010-03-06,Saturday,,,174.008536,imputed from 102,
2010-03-07,Sunday,,,174.008536,imputed from 103,
2010-03-08,Monday,107.01,1.6171,173.045871,,
2010-03-09,Tuesday,107.16,1.6124,172.784784,,
2010-03-10,Wednesday,107.18,1.6024,171.74523200000002,,
