date,weekday,C 1_Comdty_PX-LAST-CHF,imputed,C 1_Comdty_start
1997-08-15,Friday,3.9117,,start
1997-08-16,Saturday,3.9117,imputed from 0,
1997-08-17,Sunday,3.9117,imputed from 1,
1997-08-18,Monday,3.93628,,
1997-08-19,Tuesday,3.99729,,
1997-08-20,Wednesday,4.00194,,
1997-08-21,Thursday,4.13868,,
1997-08-22,Friday,4.06239,,start
1997-08-23,Saturday,4.06239,imputed from 7,
1997-08-24,Sunday,4.06239,imputed from 8,
1997-08-25,Monday,4.06468,,
1997-08-26,Tuesday,3.91906,,
1997-08-27,Wednesday,4.01622,,
1997-08-28,Thursday,3.99028,,
1997-08-29,Friday,4.02125,,start
1997-08-30,Saturday,4.02125,imputed from 14,
1997-08-31,Sunday,4.02125,imputed from 15,
1997-09-01,Monday,4.02125,imputed from 16,
1997-09-02,Tuesday,4.09491,,
1997-09-03,Wednesday,4.07625,,
1997-09-04,Thursday,4.03546,,
1997-09-05,Friday,3.90192,,start
1997-09-06,Saturday,3.90192,imputed from 21,
1997-09-07,Sunday,3.90192,imputed from 22,
1997-09-08,Monday,3.90581,,
1997-09-09,Tuesday,3.94213,,
1997-09-10,Wednesday,3.96029,,
1997-09-11,Thursday,4.01638,,
1997-09-12,Friday,3.87523,,start
1997-09-13,Saturday,3.87523,imputed from 28,
1997-09-14,Sunday,3.87523,imputed from 29,
1997-09-15,Monday,3.8361,,
1997-09-16,Tuesday,3.82207,,
1997-09-17,Wednesday,3.85998,,
1997-09-18,Thursday,3.87889,,
1997-09-19,Friday,3.82312,,start
1997-09-20,Saturday,3.82312,imputed from 35,
1997-09-21,Sunday,3.82312,imputed from 36,
1997-09-22,Monday,3.86793,,
1997-09-23,Tuesday,3.86111,,
1997-09-24,Wednesday,3.80721,,
1997-09-25,Thursday,3.7791,,
1997-09-26,Friday,3.74482,,start
1997-09-27,Saturday,3.74482,imputed from 42,
1997-09-28,Sunday,3.74482,imputed from 43,
1997-09-29,Monday,3.7599,,
1997-09-30,Tuesday,3.73866,,
1997-10-01,Wednesday,3.74202,,
1997-10-02,Thursday,3.74556,,
1997-10-03,Friday,3.83358,,start
1997-10-04,Saturday,3.83358,imputed from 49,
1997-10-05,Sunday,3.83358,imputed from 50,
1997-10-06,Monday,3.88371,,
1997-10-07,Tuesday,4.04686,,
1997-10-08,Wednesday,4.09422,,
1997-10-09,Thursday,4.12828,,
1997-10-10,Friday,4.19721,,start
1997-10-11,Saturday,4.19721,imputed from 56,
1997-10-12,Sunday,4.19721,imputed from 57,
1997-10-13,Monday,4.255,,
1997-10-14,Tuesday,4.17309,,
1997-10-15,Wednesday,4.24067,,
1997-10-16,Thursday,4.18073,,
1997-10-17,Friday,4.16119,,start
1997-10-18,Saturday,4.16119,imputed from 63,
1997-10-19,Sunday,4.16119,imputed from 64,
1997-10-20,Monday,4.16887,,
1997-10-21,Tuesday,4.28289,,
1997-10-22,Wednesday,4.34603,,
1997-10-23,Thursday,4.21834,,
1997-10-24,Friday,4.24687,,start
1997-10-25,Saturday,4.24687,imputed from 70,
1997-10-26,Sunday,4.24687,imputed from 71,
1997-10-27,Monday,4.17824,,
1997-10-28,Tuesday,4.03777,,
1997-10-29,Wednesday,3.98447,,
1997-10-30,Thursday,3.92713,,
1997-10-31,Friday,3.91286,,start
1997-11-01,Saturday,3.91286,imputed from 77,
1997-11-02,Sunday,3.91286,imputed from 78,
1997-11-03,Monday,4.02231,,
1997-11-04,Tuesday,3.93471,,
1997-11-05,Wednesday,3.92407,,
1997-11-06,Thursday,3.98606,,
1997-11-07,Friday,3.95896,,start
1997-11-08,Saturday,3.95896,imputed from 84,
1997-11-09,Sunday,3.95896,imputed from 85,
1997-11-10,Monday,3.82934,,
1997-11-11,Tuesday,3.8522,,
1997-11-12,Wednesday,3.83539,,
1997-11-13,Thursday,3.81594,,
1997-11-14,Friday,3.81752,,start
1997-11-15,Saturday,3.81752,imputed from 91,
1997-11-16,Sunday,3.81752,imputed from 92,
1997-11-17,Monday,3.91433,,
1997-11-18,Tuesday,3.88363,,
1997-11-19,Wednesday,3.84591,,
1997-11-20,Thursday,3.83521,,
1997-11-21,Friday,3.90301,,start
1997-11-22,Saturday,3.90301,imputed from 98,
1997-11-23,Sunday,3.90301,imputed from 99,
1997-11-24,Monday,3.84189,,
1997-11-25,Tuesday,3.80188,,
1997-11-26,Wednesday,3.86759,,
1997-11-27,Thursday,3.86759,imputed from 103,
1997-11-28,Friday,4.00321,,start
1997-11-29,Saturday,4.00321,imputed from 105,
1997-11-30,Sunday,4.00321,imputed from 106,
1997-12-01,Monday,4.04625,,
1997-12-02,Tuesday,4.02202,,
1997-12-03,Wednesday,4.0049,,
1997-12-04,Thursday,3.96636,,
1997-12-05,Friday,4.01645,,start
1997-12-06,Saturday,4.01645,imputed from 112,
1997-12-07,Sunday,4.01645,imputed from 113,
1997-12-08,Monday,4.13504,,
1997-12-09,Tuesday,4.10932,,
1997-12-10,Wednesday,4.06289,,
1997-12-11,Thursday,3.95141,,
1997-12-12,Friday,3.91649,,start
1997-12-13,Saturday,3.91649,imputed from 119,
1997-12-14,Sunday,3.91649,imputed from 120,
1997-12-15,Monday,3.8901,,
1997-12-16,Tuesday,3.90918,,
1997-12-17,Wednesday,3.90765,,
1997-12-18,Thursday,3.85027,,
1997-12-19,Friday,3.80885,,start
1997-12-20,Saturday,3.80885,imputed from 126,
1997-12-21,Sunday,3.80885,imputed from 127,
1997-12-22,Monday,3.78553,,
1997-12-23,Tuesday,3.82664,,
1997-12-24,Wednesday,3.85692,,
1997-12-25,Thursday,3.85692,imputed from 131,
1997-12-26,Friday,3.85808,,start
1997-12-27,Saturday,3.85808,imputed from 133,
1997-12-28,Sunday,3.85808,imputed from 134,
1997-12-29,Monday,3.87272,,
1997-12-30,Tuesday,3.87855,,
1997-12-31,Wednesday,3.87456,,
1998-01-01,Thursday,3.87456,imputed from 138,
1998-01-02,Friday,3.85638,,start
1998-01-03,Saturday,3.85638,imputed from 140,
1998-01-04,Sunday,3.85638,imputed from 141,
1998-01-05,Monday,3.95037,,
1998-01-06,Tuesday,3.88209,,
1998-01-07,Wednesday,3.89348,,
1998-01-08,Thursday,3.80409,,
1998-01-09,Friday,3.83495,,start
1998-01-10,Saturday,3.83495,imputed from 147,
1998-01-11,Sunday,3.83495,imputed from 148,
1998-01-12,Monday,3.81564,,
1998-01-13,Tuesday,3.99024,,
1998-01-14,Wednesday,4.05834,,
1998-01-15,Thursday,4.14627,,
1998-01-16,Friday,4.14974,,start
1998-01-17,Saturday,4.14974,imputed from 154,
1998-01-18,Sunday,4.14974,imputed from 155,
1998-01-19,Monday,4.14974,imputed from 156,
1998-01-20,Tuesday,4.16958,,
1998-01-21,Wednesday,4.08011,,
1998-01-22,Thursday,4.05499,,
1998-01-23,Friday,3.97629,,start
1998-01-24,Saturday,3.97629,imputed from 161,
1998-01-25,Sunday,3.97629,imputed from 162,
1998-01-26,Monday,4.06029,,
1998-01-27,Tuesday,4.01395,,
1998-01-28,Wednesday,4.05428,,
1998-01-29,Thursday,4.05481,,
1998-01-30,Friday,4.03849,,start
1998-01-31,Saturday,4.03849,imputed from 168,
1998-02-01,Sunday,4.03849,imputed from 169,
1998-02-02,Monday,4.06004,,
1998-02-03,Tuesday,4.03095,,
1998-02-04,Wednesday,3.96115,,
1998-02-05,Thursday,3.92244,,
1998-02-06,Friday,3.93741,,start
1998-02-07,Saturday,3.93741,imputed from 175,
1998-02-08,Sunday,3.93741,imputed from 176,
1998-02-09,Monday,3.98997,,
1998-02-10,Tuesday,4.00797,,
1998-02-11,Wednesday,3.9245,,
1998-02-12,Thursday,3.93253,,
1998-02-13,Friday,3.95187,,start
1998-02-14,Saturday,3.95187,imputed from 182,
1998-02-15,Sunday,3.95187,imputed from 183,
1998-02-16,Monday,3.95187,imputed from 184,
1998-02-17,Tuesday,3.94898,,
1998-02-18,Wednesday,3.93673,,
1998-02-19,Thursday,3.95286,,
1998-02-20,Friday,3.91835,,start
