date,weekday,S 1_Comdty_PX-LAST-CHF,imputed,S 1_Comdty_start
1997-08-15,Friday,9.86952,,start
1997-08-16,Saturday,9.86952,imputed from 0,
1997-08-17,Sunday,9.86952,imputed from 1,
1997-08-18,Monday,9.82372,,
1997-08-19,Tuesday,9.93256,,
1997-08-20,Wednesday,9.85033,,
1997-08-21,Thursday,9.97907,,
1997-08-22,Friday,9.88876,,start
1997-08-23,Saturday,9.88876,imputed from 7,
1997-08-24,Sunday,9.88876,imputed from 8,
1997-08-25,Monday,9.93131,,
1997-08-26,Tuesday,9.84037,,
1997-08-27,Wednesday,10.02186,,
1997-08-28,Thursday,9.17358,,
1997-08-29,Friday,9.34184,,start
1997-08-30,Saturday,9.34184,imputed from 14,
1997-08-31,Sunday,9.34184,imputed from 15,
1997-09-01,Monday,9.34184,imputed from 16,
1997-09-02,Tuesday,9.53223,,
1997-09-03,Wednesday,9.63,,
1997-09-04,Thursday,9.62676,,
1997-09-05,Friday,9.45762,,start
1997-09-06,Saturday,9.45762,imputed from 21,
1997-09-07,Sunday,9.45762,imputed from 22,
1997-09-08,Monday,9.46009,,
1997-09-09,Tuesday,9.60777,,
1997-09-10,Wednesday,9.45145,,
1997-09-11,Thursday,9.48086,,
1997-09-12,Friday,9.25728,,start
1997-09-13,Saturday,9.25728,imputed from 28,
1997-09-14,Sunday,9.25728,imputed from 29,
1997-09-15,Monday,9.16262,,
1997-09-16,Tuesday,9.38111,,
1997-09-17,Wednesday,9.42494,,
1997-09-18,Thursday,9.31228,,
1997-09-19,Friday,9.33323,,start
1997-09-20,Saturday,9.33323,imputed from 35,
1997-09-21,Sunday,9.33323,imputed from 36,
1997-09-22,Monday,9.37299,,
1997-09-23,Tuesday,9.29021,,
1997-09-24,Wednesday,9.31015,,
1997-09-25,Thursday,9.24022,,
1997-09-26,Friday,9.18754,,start
1997-09-27,Saturday,9.18754,imputed from 42,
1997-09-28,Sunday,9.18754,imputed from 43,
1997-09-29,Monday,9.11094,,
1997-09-30,Tuesday,9.01486,,
1997-10-01,Wednesday,9.06116,,
1997-10-02,Thursday,9.1364,,
1997-10-03,Friday,9.25996,,start
1997-10-04,Saturday,9.25996,imputed from 49,
1997-10-05,Sunday,9.25996,imputed from 50,
1997-10-06,Monday,9.39199,,
1997-10-07,Tuesday,9.60542,,
1997-10-08,Wednesday,9.66178,,
1997-10-09,Thursday,9.79511,,
1997-10-10,Friday,10.19634,,start
1997-10-11,Saturday,10.19634,imputed from 56,
1997-10-12,Sunday,10.19634,imputed from 57,
1997-10-13,Monday,10.52053,,
1997-10-14,Tuesday,10.31042,,
