date,weekday,LC1_Comdty_PX-LAST-CHF,imputed,LC1_Comdty_start
1997-08-15,Friday,1.05616,,start
1997-08-16,Saturday,1.05616,imputed from 0,
1997-08-17,Sunday,1.05616,imputed from 1,
1997-08-18,Monday,1.0371,,
1997-08-19,Tuesday,1.04445,,
1997-08-20,Wednesday,1.05065,,
1997-08-21,Thursday,1.0396,,
1997-08-22,Friday,1.03036,,start
1997-08-23,Saturday,1.03036,imputed from 7,
1997-08-24,Sunday,1.03036,imputed from 8,
1997-08-25,Monday,1.02984,,
1997-08-26,Tuesday,1.0249,,
1997-08-27,Wednesday,1.01153,,
1997-08-28,Thursday,0.99627,,
1997-08-29,Friday,1.00363,,start
1997-08-30,Saturday,1.00363,imputed from 14,
1997-08-31,Sunday,1.00363,imputed from 15,
1997-09-01,Monday,1.00363,imputed from 16,
1997-09-02,Tuesday,1.01376,,
1997-09-03,Wednesday,1.01288,,
1997-09-04,Thursday,1.00569,,
1997-09-05,Friday,1.00187,,start
1997-09-06,Saturday,1.00187,imputed from 21,
1997-09-07,Sunday,1.00187,imputed from 22,
1997-09-08,Monday,1.01729,,
1997-09-09,Tuesday,1.0248,,
1997-09-10,Wednesday,1.0276,,
1997-09-11,Thursday,1.01994,,
1997-09-12,Friday,1.01812,,start
1997-09-13,Saturday,1.01812,imputed from 28,
1997-09-14,Sunday,1.01812,imputed from 29,
1997-09-15,Monday,0.99565,,
1997-09-16,Tuesday,0.9896,,
1997-09-17,Wednesday,1.0003,,
1997-09-18,Thursday,0.99575,,
1997-09-19,Friday,0.99175,,start
1997-09-20,Saturday,0.99175,imputed from 35,
1997-09-21,Sunday,0.99175,imputed from 36,
1997-09-22,Monday,1.00736,,
1997-09-23,Tuesday,1.00043,,
1997-09-24,Wednesday,0.98499,,
1997-09-25,Thursday,0.98956,,
1997-09-26,Friday,0.9951,,start
1997-09-27,Saturday,0.9951,imputed from 42,
1997-09-28,Sunday,0.9951,imputed from 43,
1997-09-29,Monday,0.99174,,
1997-09-30,Tuesday,0.98199,,
1997-10-01,Wednesday,0.97219,,
1997-10-02,Thursday,0.96788,,
1997-10-03,Friday,0.96147,,start
1997-10-04,Saturday,0.96147,imputed from 49,
1997-10-05,Sunday,0.96147,imputed from 50,
1997-10-06,Monday,0.96712,,
1997-10-07,Tuesday,0.95801,,
1997-10-08,Wednesday,0.96256,,
1997-10-09,Thursday,0.97224,,
1997-10-10,Friday,0.9734,,start
1997-10-11,Saturday,0.9734,imputed from 56,
1997-10-12,Sunday,0.9734,imputed from 57,
1997-10-13,Monday,0.9826,,
1997-10-14,Tuesday,0.96605,,
1997-10-15,Wednesday,0.96804,,
1997-10-16,Thursday,0.9738,,
1997-10-17,Friday,0.98091,,start
1997-10-18,Saturday,0.98091,imputed from 63,
1997-10-19,Sunday,0.98091,imputed from 64,
1997-10-20,Monday,0.97593,,
1997-10-21,Tuesday,0.99586,,
1997-10-22,Wednesday,0.99829,,
1997-10-23,Thursday,0.99197,,
1997-10-24,Friday,0.98348,,start
1997-10-25,Saturday,0.98348,imputed from 70,
1997-10-26,Sunday,0.98348,imputed from 71,
1997-10-27,Monday,0.98425,,
1997-10-28,Tuesday,0.95529,,
1997-10-29,Wednesday,0.94565,,
1997-10-30,Thursday,0.9437,,
1997-10-31,Friday,0.94447,,start
1997-11-01,Saturday,0.94447,imputed from 77,
1997-11-02,Sunday,0.94447,imputed from 78,
1997-11-03,Monday,0.94653,,
1997-11-04,Tuesday,0.94033,,
1997-11-05,Wednesday,0.94051,,
1997-11-06,Thursday,0.94616,,
1997-11-07,Friday,0.93224,,start
1997-11-08,Saturday,0.93224,imputed from 84,
1997-11-09,Sunday,0.93224,imputed from 85,
1997-11-10,Monday,0.92592,,
1997-11-11,Tuesday,0.92752,,
1997-11-12,Wednesday,0.9342,,
1997-11-13,Thursday,0.93042,,
1997-11-14,Friday,0.94315,,start
1997-11-15,Saturday,0.94315,imputed from 91,
1997-11-16,Sunday,0.94315,imputed from 92,
1997-11-17,Monday,0.95022,,
1997-11-18,Tuesday,0.94126,,
1997-11-19,Wednesday,0.93707,,
1997-11-20,Thursday,0.95086,,
1997-11-21,Friday,0.96619,,start
1997-11-22,Saturday,0.96619,imputed from 98,
1997-11-23,Sunday,0.96619,imputed from 99,
1997-11-24,Monday,0.95292,,
1997-11-25,Tuesday,0.94467,,
1997-11-26,Wednesday,0.95431,,
1997-11-27,Thursday,0.95431,imputed from 103,
1997-11-28,Friday,0.9582,,start
1997-11-29,Saturday,0.9582,imputed from 105,
1997-11-30,Sunday,0.9582,imputed from 106,
1997-12-01,Monday,0.95713,,
1997-12-02,Tuesday,0.96199,,
1997-12-03,Wednesday,0.95326,,
1997-12-04,Thursday,0.96582,,
1997-12-05,Friday,0.96977,,start
1997-12-06,Saturday,0.96977,imputed from 112,
1997-12-07,Sunday,0.96977,imputed from 113,
1997-12-08,Monday,0.98608,,
1997-12-09,Tuesday,0.98923,,
1997-12-10,Wednesday,0.97639,,
1997-12-11,Thursday,0.95682,,
1997-12-12,Friday,0.94132,,start
1997-12-13,Saturday,0.94132,imputed from 119,
1997-12-14,Sunday,0.94132,imputed from 120,
1997-12-15,Monday,0.93513,,
1997-12-16,Tuesday,0.95385,,
1997-12-17,Wednesday,0.95576,,
1997-12-18,Thursday,0.95086,,
1997-12-19,Friday,0.94147,,start
1997-12-20,Saturday,0.94147,imputed from 126,
1997-12-21,Sunday,0.94147,imputed from 127,
1997-12-22,Monday,0.948,,
1997-12-23,Tuesday,0.94233,,
1997-12-24,Wednesday,0.95097,,
1997-12-25,Thursday,0.95097,imputed from 131,
1997-12-26,Friday,0.95933,,start
1997-12-27,Saturday,0.95933,imputed from 133,
1997-12-28,Sunday,0.95933,imputed from 134,
1997-12-29,Monday,0.96438,,
1997-12-30,Tuesday,0.96473,,
1997-12-31,Wednesday,0.97157,,
1998-01-01,Thursday,0.97157,imputed from 138,
1998-01-02,Friday,0.95327,,start
1998-01-03,Saturday,0.95327,imputed from 140,
1998-01-04,Sunday,0.95327,imputed from 141,
1998-01-05,Monday,0.95025,,
1998-01-06,Tuesday,0.94924,,
1998-01-07,Wednesday,0.94899,,
1998-01-08,Thursday,0.94514,,
1998-01-09,Friday,0.94859,,start
1998-01-10,Saturday,0.94859,imputed from 147,
1998-01-11,Sunday,0.94859,imputed from 148,
1998-01-12,Monday,0.94819,,
1998-01-13,Tuesday,0.96194,,
1998-01-14,Wednesday,0.96956,,
1998-01-15,Thursday,0.9788,,
1998-01-16,Friday,0.99511,,start
1998-01-17,Saturday,0.99511,imputed from 154,
1998-01-18,Sunday,0.99511,imputed from 155,
1998-01-19,Monday,0.99511,imputed from 156,
1998-01-20,Tuesday,0.98826,,
1998-01-21,Wednesday,0.97494,,
1998-01-22,Thursday,0.9682,,
1998-01-23,Friday,0.96268,,start
1998-01-24,Saturday,0.96268,imputed from 161,
1998-01-25,Sunday,0.96268,imputed from 162,
1998-01-26,Monday,0.96559,,
1998-01-27,Tuesday,0.94723,,
1998-01-28,Wednesday,0.94892,,
1998-01-29,Thursday,0.95888,,
1998-01-30,Friday,0.95563,,start
1998-01-31,Saturday,0.95563,imputed from 168,
1998-02-01,Sunday,0.95563,imputed from 169,
1998-02-02,Monday,0.93506,,
1998-02-03,Tuesday,0.92748,,
1998-02-04,Wednesday,0.92076,,
1998-02-05,Thursday,0.9014,,
1998-02-06,Friday,0.90123,,start
1998-02-07,Saturday,0.90123,imputed from 175,
1998-02-08,Sunday,0.90123,imputed from 176,
1998-02-09,Monday,0.90214,,
1998-02-10,Tuesday,0.96667,,
1998-02-11,Wednesday,0.97326,,
1998-02-12,Thursday,0.97223,,
1998-02-13,Friday,0.99619,,start
1998-02-14,Saturday,0.99619,imputed from 182,
1998-02-15,Sunday,0.99619,imputed from 183,
1998-02-16,Monday,0.99619,imputed from 184,
1998-02-17,Tuesday,0.99019,,
1998-02-18,Wednesday,0.97665,,
1998-02-19,Thursday,0.96208,,
1998-02-20,Friday,0.95459,,start
1998-02-21,Saturday,0.95459,imputed from 189,
1998-02-22,Sunday,0.95459,imputed from 190,
1998-02-23,Monday,0.92427,,
1998-02-24,Tuesday,0.93747,,
1998-02-25,Wednesday,0.93759,,
1998-02-26,Thursday,0.94736,,
1998-02-27,Friday,0.94438,,start
1998-02-28,Saturday,0.94438,imputed from 196,
1998-03-01,Sunday,0.94438,imputed from 197,
1998-03-02,Monday,0.95406,,
1998-03-03,Tuesday,0.95176,,
1998-03-04,Wednesday,0.95505,,
1998-03-05,Thursday,0.96283,,
1998-03-06,Friday,0.96977,,start
1998-03-07,Saturday,0.96977,imputed from 203,
1998-03-08,Sunday,0.96977,imputed from 204,
1998-03-09,Monday,0.96999,,
1998-03-10,Tuesday,0.97298,,
1998-03-11,Wednesday,0.97602,,
1998-03-12,Thursday,0.97379,,
1998-03-13,Friday,0.96702,,start
1998-03-14,Saturday,0.96702,imputed from 210,
1998-03-15,Sunday,0.96702,imputed from 211,
1998-03-16,Monday,0.96236,,
1998-03-17,Tuesday,0.95731,,
1998-03-18,Wednesday,0.97825,,
1998-03-19,Thursday,0.97011,,
1998-03-20,Friday,0.96994,,start
1998-03-21,Saturday,0.96994,imputed from 217,
1998-03-22,Sunday,0.96994,imputed from 218,
1998-03-23,Monday,0.97093,,
1998-03-24,Tuesday,0.96584,,
1998-03-25,Wednesday,0.95631,,
1998-03-26,Thursday,0.94122,,
1998-03-27,Friday,0.95909,,start
1998-03-28,Saturday,0.95909,imputed from 224,
1998-03-29,Sunday,0.95909,imputed from 225,
1998-03-30,Monday,0.96932,,
1998-03-31,Tuesday,0.97174,,
1998-04-01,Wednesday,0.9907,,
1998-04-02,Thursday,1.00663,,
1998-04-03,Friday,1.01381,,start
1998-04-04,Saturday,1.01381,imputed from 231,
1998-04-05,Sunday,1.01381,imputed from 232,
1998-04-06,Monday,1.0171,,
1998-04-07,Tuesday,1.03572,,
1998-04-08,Wednesday,1.02534,,
1998-04-09,Thursday,1.0362,,
1998-04-10,Friday,1.0362,imputed from 237,start
1998-04-11,Saturday,1.0362,imputed from 238,
1998-04-12,Sunday,1.0362,imputed from 239,
1998-04-13,Monday,1.0304,,
1998-04-14,Tuesday,1.01874,,
1998-04-15,Wednesday,1.01493,,
1998-04-16,Thursday,1.02549,,
1998-04-17,Friday,1.01986,,start
1998-04-18,Saturday,1.01986,imputed from 245,
1998-04-19,Sunday,1.01986,imputed from 246,
1998-04-20,Monday,1.01228,,
1998-04-21,Tuesday,1.00945,,
1998-04-22,Wednesday,1.02065,,
1998-04-23,Thursday,1.00975,,
1998-04-24,Friday,1.01601,,start
1998-04-25,Saturday,1.01601,imputed from 252,
1998-04-26,Sunday,1.01601,imputed from 253,
1998-04-27,Monday,1.01311,,
1998-04-28,Tuesday,1.02206,,
1998-04-29,Wednesday,1.02484,,
1998-04-30,Thursday,1.04382,,
1998-05-01,Friday,1.0336,,start
1998-05-02,Saturday,1.0336,imputed from 259,
1998-05-03,Sunday,1.0336,imputed from 260,
1998-05-04,Monday,1.0326,,
1998-05-05,Tuesday,1.02189,,
1998-05-06,Wednesday,1.01056,,
1998-05-07,Thursday,0.99945,,
1998-05-08,Friday,1.00253,,start
1998-05-09,Saturday,1.00253,imputed from 266,
1998-05-10,Sunday,1.00253,imputed from 267,
1998-05-11,Monday,1.0045,,
1998-05-12,Tuesday,0.99163,,
1998-05-13,Wednesday,0.98978,,
1998-05-14,Thursday,0.99543,,
1998-05-15,Friday,0.99068,,start
1998-05-16,Saturday,0.99068,imputed from 273,
1998-05-17,Sunday,0.99068,imputed from 274,
1998-05-18,Monday,0.97969,,
1998-05-19,Tuesday,0.96471,,
1998-05-20,Wednesday,0.96144,,
1998-05-21,Thursday,0.9538,,
1998-05-22,Friday,0.95842,,start
1998-05-23,Saturday,0.95842,imputed from 280,
1998-05-24,Sunday,0.95842,imputed from 281,
1998-05-25,Monday,0.95842,imputed from 282,
1998-05-26,Tuesday,0.96122,,
1998-05-27,Wednesday,0.94853,,
1998-05-28,Thursday,0.94693,,
1998-05-29,Friday,0.95689,,start
1998-05-30,Saturday,0.95689,imputed from 287,
1998-05-31,Sunday,0.95689,imputed from 288,
1998-06-01,Monday,0.95866,,
1998-06-02,Tuesday,0.97364,,
1998-06-03,Wednesday,0.9619,,
1998-06-04,Thursday,0.95717,,
1998-06-05,Friday,0.95258,,start
1998-06-06,Saturday,0.95258,imputed from 294,
1998-06-07,Sunday,0.95258,imputed from 295,
1998-06-08,Monday,0.97411,,
1998-06-09,Tuesday,0.98593,,
1998-06-10,Wednesday,0.99334,,
1998-06-11,Thursday,0.98968,,
1998-06-12,Friday,0.99053,,start
1998-06-13,Saturday,0.99053,imputed from 301,
1998-06-14,Sunday,0.99053,imputed from 302,
1998-06-15,Monday,0.99627,,
1998-06-16,Tuesday,0.98945,,
1998-06-17,Wednesday,0.97573,,
1998-06-18,Thursday,0.97113,,
1998-06-19,Friday,0.9719,,start
1998-06-20,Saturday,0.9719,imputed from 308,
1998-06-21,Sunday,0.9719,imputed from 309,
1998-06-22,Monday,0.97502,,
1998-06-23,Tuesday,0.98573,,
1998-06-24,Wednesday,0.98482,,
1998-06-25,Thursday,0.98161,,
1998-06-26,Friday,0.98575,,start
1998-06-27,Saturday,0.98575,imputed from 315,
1998-06-28,Sunday,0.98575,imputed from 316,
1998-06-29,Monday,0.99751,,
1998-06-30,Tuesday,0.98558,,
1998-07-01,Wednesday,0.9813,,
1998-07-02,Thursday,0.98572,,
1998-07-03,Friday,0.98572,imputed from 321,start
1998-07-04,Saturday,0.98572,imputed from 322,
1998-07-05,Sunday,0.98572,imputed from 323,
1998-07-06,Monday,0.98096,,
1998-07-07,Tuesday,0.98103,,
1998-07-08,Wednesday,0.98327,,
1998-07-09,Thursday,0.98347,,
1998-07-10,Friday,0.96982,,start
1998-07-11,Saturday,0.96982,imputed from 329,
1998-07-12,Sunday,0.96982,imputed from 330,
1998-07-13,Monday,0.9372,,
1998-07-14,Tuesday,0.94918,,
1998-07-15,Wednesday,0.9414,,
1998-07-16,Thursday,0.94702,,
1998-07-17,Friday,0.95041,,start
1998-07-18,Saturday,0.95041,imputed from 336,
1998-07-19,Sunday,0.95041,imputed from 337,
1998-07-20,Monday,0.92826,,
1998-07-21,Tuesday,0.93662,,
1998-07-22,Wednesday,0.93286,,
1998-07-23,Thursday,0.92252,,
1998-07-24,Friday,0.91776,,start
1998-07-25,Saturday,0.91776,imputed from 343,
1998-07-26,Sunday,0.91776,imputed from 344,
1998-07-27,Monday,0.91926,,
1998-07-28,Tuesday,0.90426,,
