,weekday,CL1_Comdty_PX-LAST-CHF,CL1_Comdty_start,CL1_Comdty_weeklyReturn,QS1_Comdty_PX-LAST-CHF,QS1_Comdty_start,QS1_Comdty_weeklyReturn,XB1_Comdty_PX-LAST-CHF,XB1_Comdty_start,XB1_Comdty_weeklyReturn,HO1_Comdty_PX-LAST-CHF,HO1_Comdty_start,HO1_Comdty_weeklyReturn,NG1_Comdty_PX-LAST-CHF,NG1_Comdty_start,NG1_Comdty_weeklyReturn,LMAHDS03 LME_Comdty_PX-LAST-CHF,LMAHDS03 LME_Comdty_start,LMAHDS03 LME_Comdty_weeklyReturn,LMCADS03_Comdty_PX-LAST-CHF,LMCADS03_Comdty_start,LMCADS03_Comdty_weeklyReturn,LMNIDS03_Comdty_PX-LAST-CHF,LMNIDS03_Comdty_start,LMNIDS03_Comdty_weeklyReturn,GC1_Comdty_PX-LAST-CHF,GC1_Comdty_start,GC1_Comdty_weeklyReturn,SI1_Comdty_PX-LAST-CHF,SI1_Comdty_start,SI1_Comdty_weeklyReturn,LC1_Comdty_PX-LAST-CHF,LC1_Comdty_start,LC1_Comdty_weeklyReturn,KC1_Comdty_PX-LAST-CHF,KC1_Comdty_start,KC1_Comdty_weeklyReturn,C 1_Comdty_PX-LAST-CHF,C 1_Comdty_start,C 1_Comdty_weeklyReturn,CT1_Comdty_PX-LAST-CHF,CT1_Comdty_start,CT1_Comdty_weeklyReturn,S 1_Comdty_PX-LAST-CHF,S 1_Comdty_start,S 1_Comdty_weeklyReturn,SB1_Comdty_PX-LAST-CHF,SB1_Comdty_start,SB1_Comdty_weeklyReturn,W 1_Comdty_PX-LAST-CHF,W 1_Comdty_start,W 1_Comdty_weeklyReturn
1997-08-15,Friday,83.08894,start,,181.38737,start,,,excluded,,0.77816,start,,2366.16436,start,,2559.1545,start,,3329.4585,start,,9974.835,start,,1000.53717,start,,14.42828,start,,2.25474,start,,51.56688,start,,45.24858,start,,7.01575,start,,4.89485,start,,0.29827,start,,250.6566,start,
1997-08-16,Saturday,83.08894,,,181.38737,,,,excluded,,0.77816,,,2366.16436,,,2559.1545,,,3329.4585,,,9974.835,,,1000.53717,,,14.42828,,,2.25474,,,51.56688,,,45.24858,,,7.01575,,,4.89485,,,0.29827,,,250.6566,,
1997-08-17,Sunday,83.08894,,,181.38737,,,,excluded,,0.77816,,,2366.16436,,,2559.1545,,,3329.4585,,,9974.835,,,1000.53717,,,14.42828,,,2.25474,,,51.56688,,,45.24858,,,7.01575,,,4.89485,,,0.29827,,,250.6566,,
1997-08-18,Monday,82.70596,,,180.14237,,,,excluded,,0.77854,,,2368.3279,,,2533.1088,,,3263.7552,,,10069.032,,,989.52569,,,14.29305,,,2.21404,,,52.39591,,,45.53294,,,6.95845,,,4.87213,,,0.29827,,,253.99292,,
1997-08-19,Tuesday,83.98799,,,183.42841,,,,excluded,,0.79116,,,2480.00066,,,2478.778,,,3253.965,,,10118.39,,,999.91943,,,14.39502,,,2.22976,,,54.66887,,,46.2387,,,6.97171,,,4.92611,,,0.30024,,,257.55833,,
1997-08-20,Wednesday,84.23432,,,183.97948,,,,excluded,,0.78714,,,2416.75411,,,2490.432,,,3322.102,,,10376.8,,,1000.2757,,,14.40982,,,2.24298,,,51.30835,,,46.29238,,,7.01975,,,4.88533,,,0.29819,,,260.88184,,
1997-08-21,Thursday,81.40498,,,180.37244,,,,excluded,,0.75899,,,2320.52689,,,2454.404,,,3304.88,,,10172.36,,,999.56804,,,14.36321,,,2.21939,,,52.93321,,,47.87417,,,6.987,,,4.94918,,,0.29396,,,263.63152,,
1997-08-22,Friday,80.43529,start,-0.03193746363836149,175.23089,start,-0.033941062158848304,,excluded,,0.74744,start,-0.03947774236660837,2371.36735,start,0.00219891318116201,2447.1513,start,-0.043765704649719316,3264.8616,start,-0.019401623417141255,9941.085,start,-0.0033835146145274587,994.75981,start,-0.005774258241700237,14.71977,start,0.02020268528196012,2.19967,start,-0.024424102113769292,51.3585,start,-0.00404096582922989,46.9917,start,0.03852319785504882,6.88042,start,-0.019289455867156004,4.90439,start,0.0019489872008335957,0.29461,start,-0.01227076139068628,259.43458,start,0.035019943620076176
1997-08-23,Saturday,80.43529,,,175.23089,,,,excluded,,0.74744,,,2371.36735,,,2447.1513,,,3264.8616,,,9941.085,,,994.75981,,,14.71977,,,2.19967,,,51.3585,,,46.9917,,,6.88042,,,4.90439,,,0.29461,,,259.43458,,
1997-08-24,Sunday,80.43529,,,175.23089,,,,excluded,,0.74744,,,2371.36735,,,2447.1513,,,3264.8616,,,9941.085,,,994.75981,,,14.71977,,,2.19967,,,51.3585,,,46.9917,,,6.88042,,,4.90439,,,0.29461,,,259.43458,,
