,weekday,CL1_Comdty_PX-LAST-CHF,CL1_Comdty_start,CL1_Comdty_signal,CL1_Comdty_signal_calculation,CL1_Comdty_vola,CL1_Comdty_vola_calculation,QS1_Comdty_PX-LAST-CHF,QS1_Comdty_start,QS1_Comdty_signal,QS1_Comdty_signal_calculation,QS1_Comdty_vola,QS1_Comdty_vola_calculation,XB1_Comdty_PX-LAST-CHF,XB1_Comdty_start,XB1_Comdty_signal,XB1_Comdty_signal_calculation,XB1_Comdty_vola,XB1_Comdty_vola_calculation,HO1_Comdty_PX-LAST-CHF,HO1_Comdty_start,HO1_Comdty_signal,HO1_Comdty_signal_calculation,HO1_Comdty_vola,HO1_Comdty_vola_calculation,NG1_Comdty_PX-LAST-CHF,NG1_Comdty_start,NG1_Comdty_signal,NG1_Comdty_signal_calculation,NG1_Comdty_vola,NG1_Comdty_vola_calculation,LMAHDS03 LME_Comdty_PX-LAST-CHF,LMAHDS03 LME_Comdty_start,LMAHDS03 LME_Comdty_signal,LMAHDS03 LME_Comdty_signal_calculation,LMAHDS03 LME_Comdty_vola,LMAHDS03 LME_Comdty_vola_calculation,LMCADS03_Comdty_PX-LAST-CHF,LMCADS03_Comdty_start,LMCADS03_Comdty_signal,LMCADS03_Comdty_signal_calculation,LMCADS03_Comdty_vola,LMCADS03_Comdty_vola_calculation,LMNIDS03_Comdty_PX-LAST-CHF,LMNIDS03_Comdty_start,LMNIDS03_Comdty_signal,LMNIDS03_Comdty_signal_calculation,LMNIDS03_Comdty_vola,LMNIDS03_Comdty_vola_calculation,GC1_Comdty_PX-LAST-CHF,GC1_Comdty_start,GC1_Comdty_signal,GC1_Comdty_signal_calculation,GC1_Comdty_vola,GC1_Comdty_vola_calculation,SI1_Comdty_PX-LAST-CHF,SI1_Comdty_start,SI1_Comdty_signal,SI1_Comdty_signal_calculation,SI1_Comdty_vola,SI1_Comdty_vola_calculation,LC1_Comdty_PX-LAST-CHF,LC1_Comdty_start,LC1_Comdty_signal,LC1_Comdty_signal_calculation,LC1_Comdty_vola,LC1_Comdty_vola_calculation,KC1_Comdty_PX-LAST-CHF,KC1_Comdty_start,KC1_Comdty_signal,KC1_Comdty_signal_calculation,KC1_Comdty_vola,KC1_Comdty_vola_calculation,C 1_Comdty_PX-LAST-CHF,C 1_Comdty_start,C 1_Comdty_signal,C 1_Comdty_signal_calculation,C 1_Comdty_vola,C 1_Comdty_vola_calculation,CT1_Comdty_PX-LAST-CHF,CT1_Comdty_start,CT1_Comdty_signal,CT1_Comdty_signal_calculation,CT1_Comdty_vola,CT1_Comdty_vola_calculation,S 1_Comdty_PX-LAST-CHF,S 1_Comdty_start,S 1_Comdty_signal,S 1_Comdty_signal_calculation,S 1_Comdty_vola,S 1_Comdty_vola_calculation,SB1_Comdty_PX-LAST-CHF,SB1_Comdty_start,SB1_Comdty_signal,SB1_Comdty_signal_calculation,SB1_Comdty_vola,SB1_Comdty_vola_calculation,W 1_Comdty_PX-LAST-CHF,W 1_Comdty_start,W 1_Comdty_signal,W 1_Comdty_signal_calculation,W 1_Comdty_vola,W 1_Comdty_vola_calculation
1997-08-15,Friday,83.08894,start,,,,,181.38737,start,,,,,,excluded,,,,,0.77816,start,,,,,2366.16436,start,,,,,2559.1545,start,,,,,3329.4585,start,,,,,9974.835,start,,,,,1000.53717,start,,,,,14.42828,start,,,,,2.25474,start,,,,,51.56688,start,,,,,45.24858,start,,,,,7.01575,start,,,,,4.89485,start,,,,,0.29827,start,,,,,250.6566,start,,,,
1997-08-16,Saturday,83.08894,,,,,,181.38737,,,,,,,excluded,,,,,0.77816,,,,,,2366.16436,,,,,,2559.1545,,,,,,3329.4585,,,,,,9974.835,,,,,,1000.53717,,,,,,14.42828,,,,,,2.25474,,,,,,51.56688,,,,,,45.24858,,,,,,7.01575,,,,,,4.89485,,,,,,0.29827,,,,,,250.6566,,,,,
1997-08-17,Sunday,83.08894,,,,,,181.38737,,,,,,,excluded,,,,,0.77816,,,,,,2366.16436,,,,,,2559.1545,,,,,,3329.4585,,,,,,9974.835,,,,,,1000.53717,,,,,,14.42828,,,,,,2.25474,,,,,,51.56688,,,,,,45.24858,,,,,,7.01575,,,,,,4.89485,,,,,,0.29827,,,,,,250.6566,,,,,
1997-08-18,Monday,82.70596,,,,,,180.14237,,,,,,,excluded,,,,,0.77854,,,,,,2368.3279,,,,,,2533.1088,,,,,,3263.7552,,,,,,10069.032,,,,,,989.52569,,,,,,14.29305,,,,,,2.21404,,,,,,52.39591,,,,,,45.53294,,,,,,6.95845,,,,,,4.87213,,,,,,0.29827,,,,,,253.99292,,,,,
1997-08-19,Tuesday,83.98799,,,,,,183.42841,,,,,,,excluded,,,,,0.79116,,,,,,2480.00066,,,,,,2478.778,,,,,,3253.965,,,,,,10118.39,,,,,,999.91943,,,,,,14.39502,,,,,,2.22976,,,,,,54.66887,,,,,,46.2387,,,,,,6.97171,,,,,,4.92611,,,,,,0.30024,,,,,,257.55833,,,,,
1997-08-20,Wednesday,84.23432,,,,,,183.97948,,,,,,,excluded,,,,,0.78714,,,,,,2416.75411,,,,,,2490.432,,,,,,3322.102,,,,,,10376.8,,,,,,1000.2757,,,,,,14.40982,,,,,,2.24298,,,,,,51.30835,,,,,,46.29238,,,,,,7.01975,,,,,,4.88533,,,,,,0.29819,,,,,,260.88184,,,,,
1997-08-21,Thursday,81.40498,,,,,,180.37244,,,,,,,excluded,,,,,0.75899,,,,,,2320.52689,,,,,,2454.404,,,,,,3304.88,,,,,,10172.36,,,,,,999.56804,,,,,,14.36321,,,,,,2.21939,,,,,,52.93321,,,,,,47.87417,,,,,,6.987,,,,,,4.94918,,,,,,0.29396,,,,,,263.63152,,,,,
1997-08-22,Friday,80.43529,start,,,,,175.23089,start,,,,,,excluded,,,,,0.74744,start,,,,,2371.36735,start,,,,,2447.1513,start,,,,,3264.8616,start,,,,,9941.085,start,,,,,994.75981,start,,,,,14.71977,start,,,,,2.19967,start,,,,,51.3585,start,,,,,46.9917,start,,,,,6.88042,start,,,,,4.90439,start,,,,,0.29461,start,,,,,259.43458,start,,,,
1997-08-23,Saturday,80.43529,,,,,,175.23089,,,,,,,excluded,,,,,0.74744,,,,,,2371.36735,,,,,,2447.1513,,,,,,3264.8616,,,,,,9941.085,,,,,,994.75981,,,,,,14.71977,,,,,,2.19967,,,,,,51.3585,,,,,,46.9917,,,,,,6.88042,,,,,,4.90439,,,,,,0.29461,,,,,,259.43458,,,,,
1997-08-24,Sunday,80.43529,,,,,,175.23089,,,,,,,excluded,,,,,0.74744,,,,,,2371.36735,,,,,,2447.1513,,,,,,3264.8616,,,,,,9941.085,,,,,,994.75981,,,,,,14.71977,,,,,,2.19967,,,,,,51.3585,,,,,,46.9917,,,,,,6.88042,,,,,,4.90439,,,,,,0.29461,,,,,,259.43458,,,,,
