,weekday,CL1_Comdty_PX-LAST-CHF,CL1_Comdty_start,CL1_Comdty_weeklyReturn,CL1_Comdty_buy,CL1_Comdty_sell,HO1_Comdty_PX-LAST-CHF,HO1_Comdty_start,HO1_Comdty_weeklyReturn,HO1_Comdty_buy,HO1_Comdty_sell,GC1_Comdty_PX-LAST-CHF,GC1_Comdty_start,GC1_Comdty_weeklyReturn,GC1_Comdty_buy,GC1_Comdty_sell,considered_assets,weighted_return,weighted_return_l,weighted_return_s
2003-02-21,Friday,152.25184,start,,,,1.76657,start,,-100.0,,775.0168,start,,100.0,,"{'GC1_Comdty': -0.07081755401413266, 'CL1_Comdty': -0.7074353228360577, 'HO1_Comdty': -0.7452648231597513}",,,
2003-02-22,Saturday,152.25184,,,,,1.76657,,,,,775.0168,,,,,,,,
2003-02-23,Sunday,152.25184,,,,,1.76657,,,,,775.0168,,,,,,,,
2003-02-24,Monday,155.80474,,,,,1.82395,,,,,783.65014,,,,,,,,
2003-02-25,Tuesday,153.37579,,,,,1.77826,,,,,771.65945,,,,,,,,
2003-02-26,Wednesday,160.69516,,,,,1.83335,,,,,777.04479,,,,,,,,
2003-02-27,Thursday,159.25425,,,,,1.84037,,,,,763.01633,,,,,,,,
2003-02-28,Friday,155.93737,start,0.024206801047527572,,,1.99279,start,0.128056063444981,-100.0,-100.0,768.36565,start,-0.008581942997880858,100.0,100.0,"{'GC1_Comdty': -0.057638870003838154, 'CL1_Comdty': -0.7291402913248372, 'HO1_Comdty': -0.8429288141641758}",-0.13663800644286186,-0.008581942997880858,-0.128056063444981
2003-03-01,Saturday,155.93737,,,,,1.99279,,,,,768.36565,,,,,,,,
2003-03-02,Sunday,155.93737,,,,,1.99279,,,,,768.36565,,,,,,,,
2003-03-03,Monday,151.39139,,,,,1.90707,,,,,758.76274,,,,,,,,
2003-03-04,Tuesday,155.29327,,,,,1.9258,,,,,765.67823,,,,,,,,
2003-03-05,Wednesday,153.40121,,,,,1.90414,,,,,760.25701,,,,,,,,
2003-03-06,Thursday,154.96498,,,,,1.92881,,,,,769.5504,,,,,,,,
2003-03-07,Friday,158.88537,start,0.018905025780542584,,,2.03384,start,0.02059926033350229,-100.0,-100.0,759.73825,start,-0.011228247905147721,100.0,100.0,"{'GC1_Comdty': -0.07056656802149197, 'CL1_Comdty': -0.7111467874882946, 'HO1_Comdty': -0.7406126513513104}",-0.03182750823865001,-0.011228247905147721,-0.02059926033350229
2003-03-08,Saturday,158.88537,,,,,2.03384,,,,,759.73825,,,,,,,,
2003-03-09,Sunday,158.88537,,,,,2.03384,,,,,759.73825,,,,,,,,
2003-03-10,Monday,155.40418,,,,,1.97502,,,,,761.63273,,,,,,,,
2003-03-11,Tuesday,153.61903,,,,,1.88028,,,,,755.11472,,,,,,,,
2003-03-12,Wednesday,158.45312,,,,,1.89168,,,,,747.39759,,,,,,,,
2003-03-13,Thursday,152.75539,,,,,1.78979,,,,,733.78929,,,,,,,,
2003-03-14,Friday,152.23061,start,-0.04188403249462164,-100.0,,1.76585,start,-0.13176552727844873,,-100.0,745.61896,start,-0.018584413776718465,100.0,100.0,"{'GC1_Comdty': -0.02614351280293703, 'HO1_Comdty': -0.6720523087452828, 'CL1_Comdty': -0.7035940354352216}",0.11318111350173027,-0.018584413776718465,0.13176552727844873
2003-03-15,Saturday,152.23061,,,,,1.76585,,,,,745.61896,,,,,,,,
2003-03-16,Sunday,152.23061,,,,,1.76585,,,,,745.61896,,,,,,,,
2003-03-17,Monday,151.8984,,,,,1.73726,,,,,754.91986,,,,,,,,
2003-03-18,Tuesday,137.80148,,,,,1.62836,,,,,756.47672,,,,,,,,
2003-03-19,Wednesday,130.71775,,,,,1.59577,,,,,757.19955,,,,,,,,
2003-03-20,Thursday,124.83786,,,,,1.56937,,,,,748.05125,,,,,,,,
2003-03-21,Friday,124.83786,start,-0.1799424570393563,,-100.0,1.45478,start,-0.1761587903842342,-100.0,,740.89413,start,-0.006336788967920018,100.0,100.0,"{'GC1_Comdty': -0.048252019790568645, 'CL1_Comdty': -0.5077300071308727, 'HO1_Comdty': -0.5466116903111183}",0.1736056680714363,-0.006336788967920018,0.1799424570393563
2003-03-22,Saturday,124.83786,,,,,1.45478,,,,,740.89413,,,,,,,,
2003-03-23,Sunday,124.83786,,,,,1.45478,,,,,740.89413,,,,,,,,
2003-03-24,Monday,131.18427,,,,,1.48877,,,,,738.64156,,,,,,,,
2003-03-25,Tuesday,127.94273,,,,,1.39516,,,,,735.47308,,,,,,,,
2003-03-26,Wednesday,130.91443,,,,,1.41211,,,,,739.23826,,,,,,,,
2003-03-27,Thursday,139.00134,,,,,1.54147,,,,,736.12251,,,,,,,,
2003-03-28,Friday,136.31506,start,0.09193685313093304,-100.0,,1.5616,start,0.07342690991077698,,-100.0,733.78492,start,-0.009595446518114486,100.0,100.0,"{'GC1_Comdty': -0.035194104994967626, 'HO1_Comdty': -0.5354473806399629, 'CL1_Comdty': -0.5713246177581007}",-0.08302235642889147,-0.009595446518114486,-0.07342690991077698
2003-03-29,Saturday,136.31506,,,,,1.5616,,,,,733.78492,,,,,,,,
2003-03-30,Sunday,136.31506,,,,,1.5616,,,,,733.78492,,,,,,,,
2003-03-31,Monday,138.9172,,,,,1.47181,,,,,736.42853,,,,,,,,
2003-04-01,Tuesday,133.26832,,,,,1.41461,,,,,732.65838,,,,,,,,
2003-04-02,Wednesday,130.2544,,,,,1.39829,,,,,735.98593,,,,,,,,
2003-04-03,Thursday,132.24882,,,,,1.42512,,,,,726.20015,,,,,,,,
2003-04-04,Friday,131.25667,start,-0.03710807888724822,-100.0,-100.0,1.42057,start,-0.09031121926229507,,,730.23833,start,-0.004833282755388374,100.0,100.0,"{'GC1_Comdty': -0.027373258795502235, 'HO1_Comdty': -0.4372260186694106, 'CL1_Comdty': -0.5290916288279505}",0.03227479613185985,-0.004833282755388374,0.03710807888724822
2003-04-05,Saturday,131.25667,,,,,1.42057,,,,,730.23833,,,,,,,,
2003-04-06,Sunday,131.25667,,,,,1.42057,,,,,730.23833,,,,,,,,
2003-04-07,Monday,129.25592,,,,,1.41301,,,,,727.50182,,,,,,,,
2003-04-08,Tuesday,128.8576,,,,,1.40978,,,,,725.79727,,,,,,,,
2003-04-09,Wednesday,131.61517,,,,,1.44599,,,,,726.84088,,,,,,,,
2003-04-10,Thursday,125.63708,,,,,1.39787,,,,,731.40611,,,,,,,,
2003-04-11,Friday,129.5205,start,-0.013227289706496557,-100.0,-100.0,1.42275,start,0.0015345952680965026,,,738.49075,start,0.011300995388724705,100.0,100.0,"{'GC1_Comdty': -0.03829073173365042, 'HO1_Comdty': -0.42766505188467596, 'CL1_Comdty': -0.48778468867063074}",0.024528285095221262,0.011300995388724705,0.013227289706496557
2003-04-12,Saturday,129.5205,,,,,1.42275,,,,,738.49075,,,,,,,,
2003-04-13,Sunday,129.5205,,,,,1.42275,,,,,738.49075,,,,,,,,
2003-04-14,Monday,131.46345,,,,,1.46443,,,,,728.66628,,,,,,,,
2003-04-15,Tuesday,134.85236,,,,,1.51764,,,,,731.9568,,,,,,,,
2003-04-16,Wednesday,132.71543,,,,,1.48428,,,,,724.85058,,,,,,,,
2003-04-17,Thursday,139.38075,,,,,1.50585,,,,,730.01328,,,,,,,,
2003-04-18,Friday,139.38075,start,0.07612887535177836,-100.0,-100.0,1.50585,start,0.058408012651555055,,,730.01328,start,-0.011479453195588487,100.0,100.0,"{'GC1_Comdty': -0.04005164774896048, 'HO1_Comdty': -0.5119568810854204, 'CL1_Comdty': -0.6012448823610146}",-0.08760832854736685,-0.011479453195588487,-0.07612887535177836
2003-04-19,Saturday,139.38075,,,,,1.50585,,,,,730.01328,,,,,,,,
2003-04-20,Sunday,139.38075,,,,,1.50585,,,,,730.01328,,,,,,,,
2003-04-21,Monday,141.78993,,,,,1.56931,,,,,749.06662,,,,,,,,
2003-04-22,Tuesday,135.70925,,,,,1.50724,,,,,741.9485,,,,,,,,
2003-04-23,Wednesday,129.69248,,,,,1.45863,,,,,738.25531,,,,,,,,
2003-04-24,Thursday,127.95903,,,,,1.48244,,,,,735.68668,,,,,,,,
2003-04-25,Friday,126.31007,start,-0.0937767948586875,,-100.0,1.47107,start,-0.023096589965799923,-100.0,,733.63696,start,0.004963854904119053,100.0,100.0,"{'GC1_Comdty': -0.05120458564616516, 'CL1_Comdty': -0.4598259645713351, 'HO1_Comdty': -0.5065353100981744}",0.09874064976280655,0.004963854904119053,0.0937767948586875
2003-04-26,Saturday,126.31007,,,,,1.47107,,,,,733.63696,,,,,,,,
2003-04-27,Sunday,126.31007,,,,,1.47107,,,,,733.63696,,,,,,,,
2003-04-28,Monday,123.41691,,,,,1.41391,,,,,740.92125,,,,,,,,
2003-04-29,Tuesday,121.82301,,,,,1.40754,,,,,736.83154,,,,,,,,
2003-04-30,Wednesday,123.65082,,,,,1.45697,,,,,743.48273,,,,,,,,
2003-05-01,Thursday,123.42881,,,,,1.45392,,,,,742.09223,,,,,,,,
2003-05-02,Friday,121.98478,start,-0.03424342968062638,-100.0,,1.43218,start,-0.026436539389695996,,-100.0,741.30653,start,0.010454176136382097,100.0,100.0,"{'GC1_Comdty': -0.06237079038319766, 'HO1_Comdty': -0.39097470269834794, 'CL1_Comdty': -0.43310142021581877}",0.036890715526078095,0.010454176136382097,0.026436539389695996
2003-05-03,Saturday,121.98478,,,,,1.43218,,,,,741.30653,,,,,,,,
2003-05-04,Sunday,121.98478,,,,,1.43218,,,,,741.30653,,,,,,,,
2003-05-05,Monday,125.66619,,,,,1.48425,,,,,742.85765,,,,,,,,
2003-05-06,Tuesday,121.27732,,,,,1.41818,,,,,738.80731,,,,,,,,
2003-05-07,Wednesday,122.86659,,,,,1.43273,,,,,732.65121,,,,,,,,
2003-05-08,Thursday,125.27399,,,,,1.46222,,,,,740.03568,,,,,,,,
2003-05-09,Friday,128.64141,start,0.05456934873350599,-100.0,-100.0,1.48039,start,0.03366196986412329,,,740.06574,start,-0.0016737880347552682,100.0,100.0,"{'GC1_Comdty': -0.061325469493241684, 'HO1_Comdty': -0.40531359888905605, 'CL1_Comdty': -0.45634261993950687}",-0.05624313676826126,-0.0016737880347552682,-0.05456934873350599
2003-05-10,Saturday,128.64141,,,,,1.48039,,,,,740.06574,,,,,,,,
2003-05-11,Sunday,128.64141,,,,,1.48039,,,,,740.06574,,,,,,,,
2003-05-12,Monday,126.68276,,,,,1.45558,,,,,745.00847,,,,,,,,
2003-05-13,Tuesday,132.39209,,,,,1.52906,,,,,743.55841,,,,,,,,
2003-05-14,Wednesday,135.3911,,,,,1.57371,,,,,747.81569,,,,,,,,
2003-05-15,Thursday,134.25838,,,,,1.55549,,,,,753.29482,,,,,,,,
2003-05-16,Friday,134.9224,start,0.04882556868740791,-100.0,-100.0,1.55241,start,0.0486493424030154,,,751.07322,start,0.0148736516299214,100.0,100.0,"{'GC1_Comdty': -0.080043279607484, 'HO1_Comdty': -0.47615458307094943, 'CL1_Comdty': -0.5342928553275048}",-0.03395191705748651,0.0148736516299214,-0.04882556868740791
2003-05-17,Saturday,134.9224,,,,,1.55241,,,,,751.07322,,,,,,,,
2003-05-18,Sunday,134.9224,,,,,1.55241,,,,,751.07322,,,,,,,,
2003-05-19,Monday,131.89805,,,,,1.48034,,,,,761.99803,,,,,,,,
2003-05-20,Tuesday,133.69819,,,,,1.48538,,,,,764.90972,,,,,,,,
2003-05-21,Wednesday,136.63706,,,,,1.51479,,,,,776.92621,,,,,,,,
2003-05-22,Thursday,136.16803,,,,,1.51129,,,,,770.50788,,,,,,,,
2003-05-23,Friday,137.11091,start,0.01622050897404715,-100.0,-100.0,1.50618,start,-0.02977950412584304,,,769.05485,start,0.0239412476988595,100.0,100.0,"{'GC1_Comdty': -0.10348889798085167, 'HO1_Comdty': -0.4571699442709163, 'CL1_Comdty': -0.5275047026923695}",0.00772073872481235,0.0239412476988595,-0.01622050897404715
2003-05-24,Saturday,137.11091,,,,,1.50618,,,,,769.05485,,,,,,,,
2003-05-25,Sunday,137.11091,,,,,1.50618,,,,,769.05485,,,,,,,,
