date,weekday,PT1_Index_PX-LAST-CHF,imputed,PT1_Index_start
1999-09-08,Wednesday,,,excluded
1999-09-09,Thursday,,,excluded
1999-09-10,Friday,389.50018,,start
1999-09-11,Saturday,389.50018,imputed from 2,
1999-09-12,Sunday,389.50018,imputed from 3,
1999-09-13,Monday,387.86265,,
1999-09-14,Tuesday,388.52154,,
1999-09-15,Wednesday,382.41543,,
1999-09-16,Thursday,379.60189,,
1999-09-17,Friday,384.89611,,start
1999-09-18,Saturday,384.89611,imputed from 9,
1999-09-19,Sunday,384.89611,imputed from 10,
1999-09-20,Monday,382.77503,,
1999-09-21,Tuesday,370.05399,,
1999-09-22,Wednesday,372.09059,,
1999-09-23,Thursday,366.4495,,
1999-09-24,Friday,361.50667,,start
1999-09-25,Saturday,361.50667,imputed from 16,
1999-09-26,Sunday,361.50667,imputed from 17,
1999-09-27,Monday,370.36865,,
1999-09-28,Tuesday,368.39486,,
1999-09-29,Wednesday,363.98857,,
1999-09-30,Thursday,367.90096,,
1999-10-01,Friday,360.12856,,start
1999-10-02,Saturday,360.12856,imputed from 23,
1999-10-03,Sunday,360.12856,imputed from 24,
1999-10-04,Monday,370.87101,,
1999-10-05,Tuesday,369.14912,,
1999-10-06,Wednesday,371.66367,,
1999-10-07,Thursday,372.69497,,
1999-10-08,Friday,378.53074,,start
1999-10-09,Saturday,378.53074,imputed from 30,
1999-10-10,Sunday,378.53074,imputed from 31,
1999-10-11,Monday,378.53074,imputed from 32,
1999-10-12,Tuesday,378.03617,,
1999-10-13,Wednesday,362.72665,,
1999-10-14,Thursday,361.13219,,
1999-10-15,Friday,351.95738,,start
1999-10-16,Saturday,351.95738,imputed from 37,
1999-10-17,Sunday,351.95738,imputed from 38,
1999-10-18,Monday,349.70154,,
1999-10-19,Tuesday,350.92078,,
1999-10-20,Wednesday,358.64824,,
1999-10-21,Thursday,359.32676,,
1999-10-22,Friday,374.02015,,start
1999-10-23,Saturday,374.02015,imputed from 44,
1999-10-24,Sunday,374.02015,imputed from 45,
1999-10-25,Monday,372.6242,,
1999-10-26,Tuesday,376.75107,,
1999-10-27,Wednesday,376.77184,,
1999-10-28,Thursday,386.49894,,
1999-10-29,Friday,392.53716,,start
1999-10-30,Saturday,392.53716,imputed from 51,
1999-10-31,Sunday,392.53716,imputed from 52,
1999-11-01,Monday,397.51743,,
1999-11-02,Tuesday,392.18615,,
1999-11-03,Wednesday,395.31746,,
1999-11-04,Thursday,404.79698,,
