date,weekday,WX1_Comdty_PX-LAST,WX1_Comdty_CURRENCY-GBP,WX1_Comdty_PX-LAST-CHF,imputed,WX1_Comdty_start
2009-11-24,Tuesday,,1.6732,,,excluded
2009-11-25,Wednesday,,1.6646,,,excluded
2009-11-26,Thursday,,1.6578,,,excluded
2009-11-27,Friday,90.21,1.6597,149.72153699999998,,start
2009-11-28,Saturday,,,149.72153699999998,imputed from 3,
2009-11-29,Sunday,,,149.72153699999998,imputed from 4,
2009-11-30,Monday,90.31,1.6529,149.273399,,
2009-12-01,Tuesday,90.43,1.66,150.1138,,
2009-12-02,Wednesday,90.37,1.6663,150.583531,,
2009-12-03,Thursday,90.37,1.6559,149.643683,,
2009-12-04,Friday,90.1,1.675,150.9175,,start
2009-12-05,Saturday,,,150.9175,imputed from 10,
2009-12-06,Sunday,,,150.9175,imputed from 11,
2009-12-07,Monday,90.23,1.6768,151.29766400000003,,
2009-12-08,Tuesday,90.37,1.6728,151.170936,,
2009-12-09,Wednesday,90.51,1.6697,151.124547,,
2009-12-10,Thursday,90.2,1.6703,150.66106,,
2009-12-11,Friday,89.97,1.6824,151.36552799999998,,start
2009-12-12,Saturday,,,151.36552799999998,imputed from 17,
2009-12-13,Sunday,,,151.36552799999998,imputed from 18,
2009-12-14,Monday,90.02,1.6827,151.476654,,
2009-12-15,Tuesday,89.89,1.6924,152.12983599999998,,
2009-12-16,Wednesday,89.96,1.6963,152.59914799999999,,
2009-12-17,Thursday,90.18,1.6922,152.602596,,
2009-12-18,Friday,90.43,1.6845,152.32933500000001,,start
2009-12-19,Saturday,,,152.32933500000001,imputed from 24,
2009-12-20,Sunday,,,152.32933500000001,imputed from 25,
2009-12-21,Monday,90.1,1.6778,151.16977999999997,,
2009-12-22,Tuesday,89.93,1.674,150.54282,,
2009-12-23,Wednesday,89.64,1.6578,148.605192,,
2009-12-24,Thursday,89.62,1.6563,148.43760600000002,,
2009-12-25,Friday,89.62,1.6541,148.240442,imputed from 30,start
2009-12-26,Saturday,,,148.240442,imputed from 31,
2009-12-27,Sunday,,,148.240442,imputed from 32,
2009-12-28,Monday,89.62,1.6558,148.392796,,
2009-12-29,Tuesday,89.38,1.6489,147.378682,,
2009-12-30,Wednesday,89.38,1.6667,148.969646,,
2009-12-31,Thursday,89.38,1.6739,149.613182,,
2010-01-01,Friday,89.38,1.6725,149.48805,imputed from 37,start
2010-01-02,Saturday,,,149.48805,imputed from 38,
2010-01-03,Sunday,,,149.48805,imputed from 39,
2010-01-04,Monday,89.55,1.6565,148.339575,,
2010-01-05,Tuesday,89.31,1.6527,147.60263700000002,,
2010-01-06,Wednesday,89.34,1.6461,147.06257399999998,,
2010-01-07,Thursday,89.42,1.6474,147.310508,,
2010-01-08,Friday,89.45,1.6407,146.760615,,start
2010-01-09,Saturday,,,146.760615,imputed from 45,
2010-01-10,Sunday,,,146.760615,imputed from 46,
2010-01-11,Monday,89.61,1.6381,146.79014099999998,,
2010-01-12,Tuesday,89.83,1.6465,147.90509500000002,,
2010-01-13,Wednesday,89.74,1.6577,148.76199799999998,,
2010-01-14,Thursday,89.69,1.6641,149.253129,,
2010-01-15,Friday,89.82,1.6677,149.792814,,start
2010-01-16,Saturday,,,149.792814,imputed from 52,
2010-01-17,Sunday,,,149.792814,imputed from 53,
2010-01-18,Monday,89.85,1.6748,150.48078,,
2010-01-19,Tuesday,89.43,1.6896,151.100928,,
2010-01-20,Wednesday,89.48,1.7009,152.19653200000002,,
2010-01-21,Thursday,89.84,1.6888,151.72179200000002,,
2010-01-22,Friday,89.77,1.6778,150.616106,,start
2010-01-23,Saturday,,,150.616106,imputed from 59,
2010-01-24,Sunday,,,150.616106,imputed from 60,
2010-01-25,Monday,89.93,1.689,151.89177,,
2010-01-26,Tuesday,90.1,1.6893,152.20593,,
2010-01-27,Wednesday,90.16,1.698,153.09168,,
2010-01-28,Thursday,89.89,1.6979,152.624231,,
2010-01-29,Friday,90.01,1.6957,152.62995700000002,,start
2010-01-30,Saturday,,,152.62995700000002,imputed from 66,
2010-01-31,Sunday,,,152.62995700000002,imputed from 67,
2010-02-01,Monday,90.08,1.6857,151.847856,,
2010-02-02,Tuesday,90.12,1.685,151.8522,,
2010-02-03,Wednesday,90.2,1.684,151.8968,,
2010-02-04,Thursday,90.26,1.6809,151.71803400000002,,
2010-02-05,Friday,90.38,1.6775,151.61245,,start
2010-02-06,Saturday,,,151.61245,imputed from 73,
2010-02-07,Sunday,,,151.61245,imputed from 74,
2010-02-08,Monday,90.16,1.6728,150.819648,,
2010-02-09,Tuesday,90.12,1.6722,150.698664,,
2010-02-10,Wednesday,90.39,1.665,150.49935,,
2010-02-11,Thursday,90.2,1.6811,151.63522,,
