date,weekday,Z 1_Index_PX-LAST-CHF,imputed,Z 1_Index_start
1997-08-15,Friday,10201.5933,,start
1997-08-16,Saturday,10201.5933,imputed from 0,
1997-08-17,Sunday,10201.5933,imputed from 1,
1997-08-18,Monday,10243.61898,,
1997-08-19,Tuesday,10455.03727,,
1997-08-20,Wednesday,10535.62415,,
1997-08-21,Thursday,10459.72454,,
1997-08-22,Friday,10286.18638,,start
1997-08-23,Saturday,10286.18638,imputed from 7,
1997-08-24,Sunday,10286.18638,imputed from 8,
1997-08-25,Monday,10286.18638,imputed from 9,
1997-08-26,Tuesday,10219.21245,,
1997-08-27,Wednesday,10323.33214,,
1997-08-28,Thursday,10106.07064,,
1997-08-29,Friday,10147.85588,,start
1997-08-30,Saturday,10147.85588,imputed from 14,
1997-08-31,Sunday,10147.85588,imputed from 15,
1997-09-01,Monday,10254.96999,,
1997-09-02,Tuesday,10406.02775,,
1997-09-03,Wednesday,10335.72514,,
1997-09-04,Thursday,10332.92093,,
1997-09-05,Friday,10222.25616,,start
1997-09-06,Saturday,10222.25616,imputed from 21,
1997-09-07,Sunday,10222.25616,imputed from 22,
1997-09-08,Monday,10184.66654,,
1997-09-09,Tuesday,10179.29924,,
1997-09-10,Wednesday,9989.98076,,
1997-09-11,Thursday,9959.89008,,
1997-09-12,Friday,9901.86125,,start
1997-09-13,Saturday,9901.86125,imputed from 28,
1997-09-14,Sunday,9901.86125,imputed from 29,
1997-09-15,Monday,9904.88298,,
1997-09-16,Tuesday,10077.10229,,
1997-09-17,Wednesday,10252.74974,,
1997-09-18,Thursday,10377.81441,,
1997-09-19,Friday,10305.28427,,start
1997-09-20,Saturday,10305.28427,imputed from 35,
1997-09-21,Sunday,10305.28427,imputed from 36,
1997-09-22,Monday,10467.76439,,
1997-09-23,Tuesday,10426.64653,,
1997-09-24,Wednesday,10446.21352,,
1997-09-25,Thursday,10443.85007,,
1997-09-26,Friday,10707.89745,,start
1997-09-27,Saturday,10707.89745,imputed from 42,
1997-09-28,Sunday,10707.89745,imputed from 43,
1997-09-29,Monday,10676.56624,,
1997-09-30,Tuesday,10701.66806,,
1997-10-01,Wednesday,10905.45608,,
1997-10-02,Thursday,10834.36123,,
1997-10-03,Friday,10834.36462,,start
1997-10-04,Saturday,10834.36462,imputed from 49,
1997-10-05,Sunday,10834.36462,imputed from 50,
1997-10-06,Monday,10784.06534,,
1997-10-07,Tuesday,10836.59407,,
1997-10-08,Wednesday,10656.71911,,
1997-10-09,Thursday,10687.38157,,
1997-10-10,Friday,10753.69293,,start
1997-10-11,Saturday,10753.69293,imputed from 56,
1997-10-12,Sunday,10753.69293,imputed from 57,
1997-10-13,Monday,10884.26393,,
1997-10-14,Tuesday,10845.29927,,
1997-10-15,Wednesday,10845.18496,,
1997-10-16,Thursday,10894.73988,,
1997-10-17,Friday,10946.7511,,start
1997-10-18,Saturday,10946.7511,imputed from 63,
1997-10-19,Sunday,10946.7511,imputed from 64,
1997-10-20,Monday,10837.34997,,
1997-10-21,Tuesday,10999.61052,,
1997-10-22,Wednesday,10712.10966,,
1997-10-23,Thursday,10277.62923,,
1997-10-24,Friday,10272.431,,start
1997-10-25,Saturday,10272.431,imputed from 70,
1997-10-26,Sunday,10272.431,imputed from 71,
1997-10-27,Monday,10087.69732,,
1997-10-28,Tuesday,9695.81037,,
1997-10-29,Wednesday,10058.60625,,
1997-10-30,Thursday,9617.72992,,
1997-10-31,Friday,9763.94657,,start
1997-11-01,Saturday,9763.94657,imputed from 77,
1997-11-02,Sunday,9763.94657,imputed from 78,
1997-11-03,Monday,10075.12776,,
1997-11-04,Tuesday,9981.61536,,
1997-11-05,Wednesday,9991.5217,,
1997-11-06,Thursday,9997.64745,,
1997-11-07,Friday,9643.92014,,start
1997-11-08,Saturday,9643.92014,imputed from 84,
1997-11-09,Sunday,9643.92014,imputed from 85,
1997-11-10,Monday,9725.35417,,
1997-11-11,Tuesday,9823.32689,,
1997-11-12,Wednesday,9722.91809,,
1997-11-13,Thursday,9635.49623,,
1997-11-14,Friday,9732.99258,,start
1997-11-15,Saturday,9732.99258,imputed from 91,
1997-11-16,Sunday,9732.99258,imputed from 92,
1997-11-17,Monday,10037.73287,,
1997-11-18,Tuesday,9936.4304,,
1997-11-19,Wednesday,9912.25185,,
1997-11-20,Thursday,10096.28785,,
1997-11-21,Friday,10297.24076,,start
1997-11-22,Saturday,10297.24076,imputed from 98,
1997-11-23,Sunday,10297.24076,imputed from 99,
1997-11-24,Monday,10044.10249,,
1997-11-25,Tuesday,9870.39388,,
1997-11-26,Wednesday,9991.82854,,
1997-11-27,Thursday,10010.18363,,
1997-11-28,Friday,10049.4928,,start
1997-11-29,Saturday,10049.4928,imputed from 105,
1997-11-30,Sunday,10049.4928,imputed from 106,
1997-12-01,Monday,10242.37436,,
1997-12-02,Tuesday,10359.45714,,
1997-12-03,Wednesday,10282.3361,,
1997-12-04,Thursday,10468.1636,,
1997-12-05,Friday,10616.6481,,start
1997-12-06,Saturday,10616.6481,imputed from 112,
1997-12-07,Sunday,10616.6481,imputed from 113,
1997-12-08,Monday,10744.12348,,
1997-12-09,Tuesday,10705.99057,,
1997-12-10,Wednesday,10498.84177,,
1997-12-11,Thursday,10221.0266,,
1997-12-12,Friday,10246.48125,,start
1997-12-13,Saturday,10246.48125,imputed from 119,
1997-12-14,Sunday,10246.48125,imputed from 120,
1997-12-15,Monday,10285.8463,,
1997-12-16,Tuesday,10572.80882,,
1997-12-17,Wednesday,10587.13629,,
1997-12-18,Thursday,10646.99223,,
1997-12-19,Friday,10230.62201,,start
1997-12-20,Saturday,10230.62201,imputed from 126,
1997-12-21,Sunday,10230.62201,imputed from 127,
1997-12-22,Monday,10266.87262,,
1997-12-23,Tuesday,10377.99838,,
1997-12-24,Wednesday,10227.93002,,
1997-12-25,Thursday,10227.93002,imputed from 131,
1997-12-26,Friday,10227.93002,imputed from 131,start
1997-12-27,Saturday,10227.93002,imputed from 133,
1997-12-28,Sunday,10227.93002,imputed from 134,
1997-12-29,Monday,10611.26395,,
1997-12-30,Tuesday,10631.14612,,
1997-12-31,Wednesday,10611.83145,,
1998-01-01,Thursday,10611.83145,imputed from 138,
1998-01-02,Friday,10732.152,,start
1998-01-03,Saturday,10732.152,imputed from 140,
1998-01-04,Sunday,10732.152,imputed from 141,
1998-01-05,Monday,10879.55804,,
1998-01-06,Tuesday,10885.89051,,
1998-01-07,Wednesday,10731.15538,,
1998-01-08,Thursday,10660.73648,,
1998-01-09,Friday,10472.83286,,start
1998-01-10,Saturday,10472.83286,imputed from 147,
1998-01-11,Sunday,10472.83286,imputed from 148,
1998-01-12,Monday,10305.10115,,
1998-01-13,Tuesday,10474.50048,,
1998-01-14,Wednesday,10542.17621,,
1998-01-15,Thursday,10769.9748,,
1998-01-16,Friday,11053.80459,,start
1998-01-17,Saturday,11053.80459,imputed from 154,
1998-01-18,Sunday,11053.80459,imputed from 155,
1998-01-19,Monday,11011.37889,,
1998-01-20,Tuesday,10969.69217,,
1998-01-21,Wednesday,10847.63162,,
1998-01-22,Thursday,10828.78094,,
1998-01-23,Friday,10622.59842,,start
1998-01-24,Saturday,10622.59842,imputed from 161,
1998-01-25,Sunday,10622.59842,imputed from 162,
1998-01-26,Monday,10755.89695,,
1998-01-27,Tuesday,10895.40523,,
1998-01-28,Wednesday,11026.4428,,
1998-01-29,Thursday,11167.74222,,
1998-01-30,Friday,11210.97579,,start
1998-01-31,Saturday,11210.97579,imputed from 168,
1998-02-01,Sunday,11210.97579,imputed from 169,
1998-02-02,Monday,11529.21322,,
1998-02-03,Tuesday,11519.90871,,
1998-02-04,Wednesday,11492.64885,,
1998-02-05,Thursday,11358.37662,,
1998-02-06,Friday,11461.28198,,start
1998-02-07,Saturday,11461.28198,imputed from 175,
1998-02-08,Sunday,11461.28198,imputed from 176,
1998-02-09,Monday,11384.50149,,
1998-02-10,Tuesday,11402.78847,,
1998-02-11,Wednesday,11370.27408,,
1998-02-12,Thursday,11233.63205,,
1998-02-13,Friday,11348.83403,,start
1998-02-14,Saturday,11348.83403,imputed from 182,
1998-02-15,Sunday,11348.83403,imputed from 183,
1998-02-16,Monday,11429.73137,,
1998-02-17,Tuesday,11634.1858,,
1998-02-18,Wednesday,11757.41045,,
1998-02-19,Thursday,11728.53236,,
1998-02-20,Friday,11742.45997,,start
1998-02-21,Saturday,11742.45997,imputed from 189,
1998-02-22,Sunday,11742.45997,imputed from 190,
1998-02-23,Monday,11556.13362,,
1998-02-24,Tuesday,11517.37501,,
1998-02-25,Wednesday,11742.27232,,
1998-02-26,Thursday,11856.3963,,
1998-02-27,Friday,11857.84638,,start
1998-02-28,Saturday,11857.84638,imputed from 196,
1998-03-01,Sunday,11857.84638,imputed from 197,
1998-03-02,Monday,12013.41454,,
1998-03-03,Tuesday,11982.16589,,
1998-03-04,Wednesday,11841.05872,,
1998-03-05,Thursday,11800.18451,,
1998-03-06,Friday,11993.71239,,start
1998-03-07,Saturday,11993.71239,imputed from 203,
1998-03-08,Sunday,11993.71239,imputed from 204,
1998-03-09,Monday,12055.1441,,
1998-03-10,Tuesday,12148.90213,,
1998-03-11,Wednesday,12174.41087,,
1998-03-12,Thursday,12072.54013,,
1998-03-13,Friday,12074.21298,,start
1998-03-14,Saturday,12074.21298,imputed from 210,
1998-03-15,Sunday,12074.21298,imputed from 211,
1998-03-16,Monday,12179.60302,,
1998-03-17,Tuesday,12320.14277,,
1998-03-18,Wednesday,12462.73701,,
1998-03-19,Thursday,12666.61995,,
1998-03-20,Friday,12652.41751,,start
1998-03-21,Saturday,12652.41751,imputed from 217,
1998-03-22,Sunday,12652.41751,imputed from 218,
1998-03-23,Monday,12642.60187,,
1998-03-24,Tuesday,12640.86831,,
1998-03-25,Wednesday,12689.31551,,
1998-03-26,Thursday,12511.73217,,
1998-03-27,Friday,12619.95911,,start
1998-03-28,Saturday,12619.95911,imputed from 224,
1998-03-29,Sunday,12619.95911,imputed from 225,
1998-03-30,Monday,12748.18318,,
1998-03-31,Tuesday,12774.99417,,
1998-04-01,Wednesday,13084.17677,,
1998-04-02,Thursday,13084.91535,,
1998-04-03,Friday,13015.01276,,start
1998-04-04,Saturday,13015.01276,imputed from 231,
1998-04-05,Sunday,13015.01276,imputed from 232,
1998-04-06,Monday,13112.9653,,
1998-04-07,Tuesday,13111.40677,,
1998-04-08,Wednesday,12947.348,,
1998-04-09,Thursday,13052.09393,,
1998-04-10,Friday,13052.09393,imputed from 237,start
1998-04-11,Saturday,13052.09393,imputed from 238,
1998-04-12,Sunday,13052.09393,imputed from 239,
1998-04-13,Monday,13052.09393,imputed from 240,
1998-04-14,Tuesday,12998.60994,,
