date,weekday,NI1_Index_PX-LAST-CHF,imputed,NI1_Index_start
1997-08-15,Friday,180.46927,,start
1997-08-16,Saturday,180.46927,imputed from 0,
1997-08-17,Sunday,180.46927,imputed from 1,
1997-08-18,Monday,177.31331,,
1997-08-19,Tuesday,176.23293,,
1997-08-20,Wednesday,180.36412,,
1997-08-21,Thursday,179.00494,,
1997-08-22,Friday,173.24764,,start
1997-08-23,Saturday,173.24764,imputed from 7,
1997-08-24,Sunday,173.24764,imputed from 8,
1997-08-25,Monday,170.7195,,
1997-08-26,Tuesday,171.56869,,
1997-08-27,Wednesday,168.53456,,
1997-08-28,Thursday,166.71391,,
1997-08-29,Friday,162.99801,,start
1997-08-30,Saturday,162.99801,imputed from 14,
1997-08-31,Sunday,162.99801,imputed from 15,
1997-09-01,Monday,160.38287,,
1997-09-02,Tuesday,163.15088,,
1997-09-03,Wednesday,168.37698,,
1997-09-04,Thursday,167.10053,,
1997-09-05,Friday,164.89259,,start
1997-09-06,Saturday,164.89259,imputed from 21,
1997-09-07,Sunday,164.89259,imputed from 22,
1997-09-08,Monday,165.63639,,
1997-09-09,Tuesday,169.82713,,
1997-09-10,Wednesday,168.22372,,
1997-09-11,Thursday,163.2643,,
1997-09-12,Friday,156.28546,,start
1997-09-13,Saturday,156.28546,imputed from 28,
1997-09-14,Sunday,156.28546,imputed from 29,
1997-09-15,Monday,156.28546,imputed from 30,
1997-09-16,Tuesday,156.19588,,
1997-09-17,Wednesday,155.02949,,
1997-09-18,Thursday,157.17949,,
1997-09-19,Friday,156.60955,,start
1997-09-20,Saturday,156.60955,imputed from 35,
1997-09-21,Sunday,156.60955,imputed from 36,
1997-09-22,Monday,159.6682,,
1997-09-23,Tuesday,159.6682,imputed from 38,
1997-09-24,Wednesday,163.24911,,
1997-09-25,Thursday,159.56862,,
1997-09-26,Friday,156.45507,,start
1997-09-27,Saturday,156.45507,imputed from 42,
1997-09-28,Sunday,156.45507,imputed from 43,
1997-09-29,Monday,156.39538,,
1997-09-30,Tuesday,155.53017,,
1997-10-01,Wednesday,156.16582,,
1997-10-02,Thursday,151.80051,,
1997-10-03,Friday,152.36993,,start
1997-10-04,Saturday,152.36993,imputed from 49,
1997-10-05,Sunday,152.36993,imputed from 50,
1997-10-06,Monday,154.28956,,
1997-10-07,Tuesday,151.01393,,
1997-10-08,Wednesday,152.88345,,
1997-10-09,Thursday,151.96368,,
1997-10-10,Friday,151.96368,imputed from 55,start
1997-10-11,Saturday,151.96368,imputed from 56,
1997-10-12,Sunday,151.96368,imputed from 57,
1997-10-13,Monday,151.33541,,
1997-10-14,Tuesday,151.61196,,
1997-10-15,Wednesday,151.12141,,
1997-10-16,Thursday,155.84758,,
1997-10-17,Friday,155.67501,,start
1997-10-18,Saturday,155.67501,imputed from 63,
1997-10-19,Sunday,155.67501,imputed from 64,
1997-10-20,Monday,153.05076,,
1997-10-21,Tuesday,154.50148,,
1997-10-22,Wednesday,156.8118,,
1997-10-23,Thursday,150.84766,,
1997-10-24,Friday,151.79396,,start
1997-10-25,Saturday,151.79396,imputed from 70,
1997-10-26,Sunday,151.79396,imputed from 71,
1997-10-27,Monday,147.95349,,
1997-10-28,Tuesday,139.97708,,
1997-10-29,Wednesday,143.2494,,
1997-10-30,Thursday,138.39965,,
1997-10-31,Friday,139.17915,,start
1997-11-01,Saturday,139.17915,imputed from 77,
1997-11-02,Sunday,139.17915,imputed from 78,
1997-11-03,Monday,139.17915,imputed from 79,
1997-11-04,Tuesday,137.76592,,
1997-11-05,Wednesday,136.74917,,
1997-11-06,Thursday,136.43525,,
1997-11-07,Friday,128.67743,,start
1997-11-08,Saturday,128.67743,imputed from 84,
1997-11-09,Sunday,128.67743,imputed from 85,
1997-11-10,Monday,127.67325,,
1997-11-11,Tuesday,128.01229,,
1997-11-12,Wednesday,122.61996,,
1997-11-13,Thursday,123.90336,,
1997-11-14,Friday,121.22467,,start
1997-11-15,Saturday,121.22467,imputed from 91,
1997-11-16,Sunday,121.22467,imputed from 92,
1997-11-17,Monday,133.64246,,
1997-11-18,Tuesday,135.59501,,
1997-11-19,Wednesday,127.50806,,
1997-11-20,Thursday,132.70828,,
1997-11-21,Friday,137.43406,,start
1997-11-22,Saturday,137.43406,imputed from 98,
1997-11-23,Sunday,137.43406,imputed from 99,
1997-11-24,Monday,137.43406,imputed from 100,
1997-11-25,Tuesday,127.18004,,
1997-11-26,Wednesday,130.56951,,
1997-11-27,Thursday,135.84386,,
1997-11-28,Friday,135.0864,,start
1997-11-29,Saturday,135.0864,imputed from 105,
1997-11-30,Sunday,135.0864,imputed from 106,
1997-12-01,Monday,136.84491,,
1997-12-02,Tuesday,136.91619,,
1997-12-03,Wednesday,133.9264,,
1997-12-04,Thursday,131.55544,,
1997-12-05,Friday,132.60527,,start
1997-12-06,Saturday,132.60527,imputed from 112,
1997-12-07,Sunday,132.60527,imputed from 113,
1997-12-08,Monday,130.65781,,
1997-12-09,Tuesday,136.38426,,
1997-12-10,Wednesday,134.45142,,
1997-12-11,Thursday,129.28325,,
1997-12-12,Friday,127.13072,,start
1997-12-13,Saturday,127.13072,imputed from 119,
1997-12-14,Sunday,127.13072,imputed from 120,
1997-12-15,Monday,126.72493,,
1997-12-16,Tuesday,127.98463,,
1997-12-17,Wednesday,134.83231,,
1997-12-18,Thursday,129.91231,,
1997-12-19,Friday,123.51635,,start
1997-12-20,Saturday,123.51635,imputed from 126,
1997-12-21,Sunday,123.51635,imputed from 127,
1997-12-22,Monday,117.52503,,
1997-12-23,Tuesday,117.52503,imputed from 129,
1997-12-24,Wednesday,120.67598,,
1997-12-25,Thursday,122.45724,,
1997-12-26,Friday,117.49638,,start
1997-12-27,Saturday,117.49638,imputed from 133,
1997-12-28,Sunday,117.49638,imputed from 134,
1997-12-29,Monday,119.46958,,
1997-12-30,Tuesday,122.93252,,
1997-12-31,Wednesday,122.93252,imputed from 137,
1998-01-01,Thursday,122.93252,imputed from 138,
1998-01-02,Friday,122.93252,imputed from 137,start
1998-01-03,Saturday,122.93252,imputed from 140,
1998-01-04,Sunday,122.93252,imputed from 141,
1998-01-05,Monday,120.7181,,
1998-01-06,Tuesday,119.19496,,
1998-01-07,Wednesday,122.51434,,
1998-01-08,Thursday,120.81003,,
1998-01-09,Friday,121.82097,,start
1998-01-10,Saturday,121.82097,imputed from 147,
1998-01-11,Sunday,121.82097,imputed from 148,
1998-01-12,Monday,118.70467,,
1998-01-13,Tuesday,119.98041,,
1998-01-14,Wednesday,123.93199,,
1998-01-15,Thursday,123.93199,imputed from 152,
1998-01-16,Friday,135.29933,,start
1998-01-17,Saturday,135.29933,imputed from 154,
1998-01-18,Sunday,135.29933,imputed from 155,
1998-01-19,Monday,137.00408,,
1998-01-20,Tuesday,138.56676,,
1998-01-21,Wednesday,141.16467,,
1998-01-22,Thursday,137.54815,,
1998-01-23,Friday,140.2262,,start
1998-01-24,Saturday,140.2262,imputed from 161,
1998-01-25,Sunday,140.2262,imputed from 162,
1998-01-26,Monday,142.45546,,
1998-01-27,Tuesday,142.70875,,
1998-01-28,Wednesday,144.11991,,
1998-01-29,Thursday,145.17086,,
1998-01-30,Friday,141.40726,,start
1998-01-31,Saturday,141.40726,imputed from 168,
1998-02-01,Sunday,141.40726,imputed from 169,
1998-02-02,Monday,142.16941,,
1998-02-03,Tuesday,143.7824,,
1998-02-04,Wednesday,144.46159,,
1998-02-05,Thursday,144.21122,,
1998-02-06,Friday,146.02205,,start
1998-02-07,Saturday,146.02205,imputed from 175,
1998-02-08,Sunday,146.02205,imputed from 176,
1998-02-09,Monday,147.59929,,
1998-02-10,Tuesday,147.99965,,
1998-02-11,Wednesday,147.99965,imputed from 179,
1998-02-12,Thursday,145.60451,,
1998-02-13,Friday,141.58556,,start
1998-02-14,Saturday,141.58556,imputed from 182,
1998-02-15,Sunday,141.58556,imputed from 183,
1998-02-16,Monday,141.10602,,
1998-02-17,Tuesday,141.77459,,
1998-02-18,Wednesday,140.83419,,
1998-02-19,Thursday,139.95341,,
1998-02-20,Friday,139.88556,,start
1998-02-21,Saturday,139.88556,imputed from 189,
1998-02-22,Sunday,139.88556,imputed from 190,
1998-02-23,Monday,136.40064,,
1998-02-24,Tuesday,133.27783,,
1998-02-25,Wednesday,135.02642,,
1998-02-26,Thursday,137.55834,,
1998-02-27,Friday,143.60243,,start
1998-02-28,Saturday,143.60243,imputed from 196,
1998-03-01,Sunday,143.60243,imputed from 197,
1998-03-02,Monday,146.24394,,
1998-03-03,Tuesday,144.54842,,
1998-03-04,Wednesday,144.1862,,
1998-03-05,Thursday,142.00355,,
1998-03-06,Friday,145.23891,,start
1998-03-07,Saturday,145.23891,imputed from 203,
1998-03-08,Sunday,145.23891,imputed from 204,
1998-03-09,Monday,143.38242,,
1998-03-10,Tuesday,144.22623,,
1998-03-11,Wednesday,140.6817,,
1998-03-12,Thursday,138.87761,,
1998-03-13,Friday,141.87416,,start
1998-03-14,Saturday,141.87416,imputed from 210,
1998-03-15,Sunday,141.87416,imputed from 211,
1998-03-16,Monday,139.74747,,
1998-03-17,Tuesday,141.34046,,
1998-03-18,Wednesday,138.4054,,
1998-03-19,Thursday,138.96978,,
1998-03-20,Friday,140.17526,,start
1998-03-21,Saturday,140.17526,imputed from 217,
1998-03-22,Sunday,140.17526,imputed from 218,
1998-03-23,Monday,139.81518,,
1998-03-24,Tuesday,137.97873,,
1998-03-25,Wednesday,138.73005,,
1998-03-26,Thursday,142.10861,,
1998-03-27,Friday,141.21787,,start
1998-03-28,Saturday,141.21787,imputed from 224,
1998-03-29,Sunday,141.21787,imputed from 225,
1998-03-30,Monday,134.83303,,
1998-03-31,Tuesday,135.59358,,
1998-04-01,Wednesday,134.44606,,
1998-04-02,Thursday,131.42712,,
1998-04-03,Friday,127.81459,,start
1998-04-04,Saturday,127.81459,imputed from 231,
1998-04-05,Sunday,127.81459,imputed from 232,
1998-04-06,Monday,129.42106,,
1998-04-07,Tuesday,132.93594,,
1998-04-08,Wednesday,136.11677,,
1998-04-09,Thursday,140.12491,,
1998-04-10,Friday,140.8165,,start
