date,weekday,NG1_Comdty_PX-LAST-CHF,imputed,NG1_Comdty_start
1998-01-04,Sunday,2018.70053,imputed from 141,
1998-01-05,Monday,2095.83853,,
1998-01-06,Tuesday,2063.45527,,
1998-01-07,Wednesday,2024.76559,,
1998-01-08,Thursday,1923.4725,,
1998-01-09,Friday,1929.7464,,start
1998-01-10,Saturday,1929.7464,imputed from 147,
1998-01-11,Sunday,1929.7464,imputed from 148,
1998-01-12,Monday,1889.65333,,
1998-01-13,Tuesday,1899.6933,,
1998-01-14,Wednesday,1909.30717,,
1998-01-15,Thursday,2000.56961,,
1998-01-16,Friday,2082.52522,,start
1998-01-17,Saturday,2082.52522,imputed from 154,
1998-01-18,Sunday,2082.52522,imputed from 155,
1998-01-19,Monday,2082.52522,imputed from 156,
1998-01-20,Tuesday,2024.68606,,
1998-01-21,Wednesday,1968.11678,,
1998-01-22,Thursday,2027.33372,,
1998-01-23,Friday,1951.9471,,start
1998-01-24,Saturday,1951.9471,imputed from 161,
1998-01-25,Sunday,1951.9471,imputed from 162,
1998-01-26,Monday,1918.902,,
1998-01-27,Tuesday,1893.75236,,
1998-01-28,Wednesday,1888.32278,,
1998-01-29,Thursday,1956.2867,,
1998-01-30,Friday,2112.25072,,start
1998-01-31,Saturday,2112.25072,imputed from 168,
1998-02-01,Sunday,2112.25072,imputed from 169,
1998-02-02,Monday,2171.38195,,
1998-02-03,Tuesday,2139.34074,,
1998-02-04,Wednesday,2112.28716,,
1998-02-05,Thursday,2176.04761,,
1998-02-06,Friday,2176.36868,,start
1998-02-07,Saturday,2176.36868,imputed from 175,
1998-02-08,Sunday,2176.36868,imputed from 176,
1998-02-09,Monday,2061.13633,,
1998-02-10,Tuesday,2100.73582,,
1998-02-11,Wednesday,2071.39087,,
1998-02-12,Thursday,2104.35175,,
1998-02-13,Friday,2042.64643,,start
1998-02-14,Saturday,2042.64643,imputed from 182,
1998-02-15,Sunday,2042.64643,imputed from 183,
1998-02-16,Monday,2042.64643,imputed from 184,
1998-02-17,Tuesday,2019.13912,,
1998-02-18,Wednesday,2081.72659,,
1998-02-19,Thursday,2064.85784,,
1998-02-20,Friday,2044.51968,,start
1998-02-21,Saturday,2044.51968,imputed from 189,
1998-02-22,Sunday,2044.51968,imputed from 190,
1998-02-23,Monday,1994.72675,,
1998-02-24,Tuesday,2038.41128,,
1998-02-25,Wednesday,2110.42554,,
1998-02-26,Thursday,2073.52481,,
1998-02-27,Friday,2110.27989,,start
1998-02-28,Saturday,2110.27989,imputed from 196,
1998-03-01,Sunday,2110.27989,imputed from 197,
1998-03-02,Monday,2082.63428,,
1998-03-03,Tuesday,2039.20967,,
1998-03-04,Wednesday,2041.46504,,
1998-03-05,Thursday,1973.16063,,
1998-03-06,Friday,1967.11546,,start
1998-03-07,Saturday,1967.11546,imputed from 203,
1998-03-08,Sunday,1967.11546,imputed from 204,
1998-03-09,Monday,2002.99851,,
1998-03-10,Tuesday,1976.49385,,
1998-03-11,Wednesday,2005.90352,,
1998-03-12,Thursday,1964.06418,,
1998-03-13,Friday,1950.93174,,start
