date,weekday,CV1_Comdty_PX-LAST,CV1_Comdty_CURRENCY-CAD,CV1_Comdty_PX-LAST-CHF,imputed,CV1_Comdty_start
2004-05-04,Tuesday,,0.9356,,,excluded
2004-05-05,Wednesday,,0.9272,,,excluded
2004-05-06,Thursday,,0.9306,,,excluded
2004-05-07,Friday,95.551,0.9417,89.9803767,,start
2004-05-08,Saturday,,,89.9803767,imputed from 3,
2004-05-09,Sunday,,,89.9803767,imputed from 4,
2004-05-10,Monday,95.578,0.9332,89.1933896,,
2004-05-11,Tuesday,95.597,0.935,89.383195,,
2004-05-12,Wednesday,95.56,0.933,89.15748,,
2004-05-13,Thursday,95.496,0.9343,89.2219128,,
2004-05-14,Friday,95.478,0.9326,89.0427828,,start
2004-05-15,Saturday,,,89.0427828,imputed from 10,
2004-05-16,Sunday,,,89.0427828,imputed from 11,
2004-05-17,Monday,95.533,0.9132,87.24073560000001,,
2004-05-18,Tuesday,95.46,0.9227,88.080942,,
2004-05-19,Wednesday,95.387,0.9284,88.5572908,,
2004-05-20,Thursday,95.487,0.9397,89.7291339,,
2004-05-21,Friday,95.478,0.9343,89.20509539999999,,start
2004-05-22,Saturday,,,89.20509539999999,imputed from 17,
2004-05-23,Sunday,,,89.20509539999999,imputed from 18,
2004-05-24,Monday,,0.9328,89.20509539999999,imputed from 19,
2004-05-25,Tuesday,95.368,0.9274,88.4442832,,
2004-05-26,Wednesday,95.368,0.928,88.501504,,
2004-05-27,Thursday,95.56,0.9176,87.685856,,
2004-05-28,Friday,95.46,0.9189,87.718194,,start
2004-05-29,Saturday,,,87.718194,imputed from 24,
2004-05-30,Sunday,,,87.718194,imputed from 25,
2004-05-31,Monday,95.432,0.9205,87.845156,,
2004-06-01,Tuesday,95.35,0.9109,86.854315,,
2004-06-02,Wednesday,95.305,0.9182,87.50905100000001,,
2004-06-03,Thursday,95.323,0.917,87.411191,,
2004-06-04,Friday,95.04,0.9176,87.208704,,start
2004-06-05,Saturday,,,87.208704,imputed from 31,
2004-06-06,Sunday,,,87.208704,imputed from 32,
2004-06-07,Monday,95.049,0.9184,87.29300160000001,,
2004-06-08,Tuesday,95.113,0.9171,87.2281323,,
2004-06-09,Wednesday,95.104,0.9224,87.7239296,,
2004-06-10,Thursday,95.058,0.9151,86.9875758,,
2004-06-11,Friday,94.931,0.9238,87.69725779999999,,start
2004-06-12,Saturday,,,87.69725779999999,imputed from 38,
2004-06-13,Sunday,,,87.69725779999999,imputed from 39,
2004-06-14,Monday,94.812,0.9136,86.62024319999999,,
2004-06-15,Tuesday,94.976,0.913,86.713088,,
2004-06-16,Wednesday,94.922,0.9223,87.54656059999999,,
2004-06-17,Thursday,94.931,0.9133,86.7004823,,
2004-06-18,Friday,94.94,0.9131,86.689714,,start
2004-06-19,Saturday,,,86.689714,imputed from 45,
2004-06-20,Sunday,,,86.689714,imputed from 46,
2004-06-21,Monday,94.967,0.9129,86.6953743,,
2004-06-22,Tuesday,94.994,0.9205,87.441977,,
2004-06-23,Wednesday,95.067,0.9214,87.5947338,,
2004-06-24,Thursday,95.15,0.9254,88.05181,,
2004-06-25,Friday,95.204,0.9238,87.94945519999999,,start
2004-06-26,Saturday,,,87.94945519999999,imputed from 52,
2004-06-27,Sunday,,,87.94945519999999,imputed from 53,
2004-06-28,Monday,95.077,0.9263,88.0698251,,
2004-06-29,Tuesday,95.086,0.9417,89.5424862,,
2004-06-30,Wednesday,95.213,0.9367,89.18601709999999,,
2004-07-01,Thursday,,0.9373,89.18601709999999,imputed from 57,
2004-07-02,Friday,95.487,0.9317,88.96523789999999,,start
2004-07-03,Saturday,,,88.96523789999999,imputed from 59,
2004-07-04,Sunday,,,88.96523789999999,imputed from 60,
2004-07-05,Monday,95.487,0.9324,89.0320788,,
2004-07-06,Tuesday,95.505,0.9313,88.9438065,,
2004-07-07,Wednesday,95.533,0.9291,88.75971030000001,,
2004-07-08,Thursday,95.615,0.9299,88.91238849999999,,
2004-07-09,Friday,95.587,0.9276,88.6665012,,start
2004-07-10,Saturday,,,88.6665012,imputed from 66,
2004-07-11,Sunday,,,88.6665012,imputed from 67,
2004-07-12,Monday,95.505,0.9297,88.79099849999999,,
2004-07-13,Tuesday,95.432,0.9373,89.44841360000001,,
2004-07-14,Wednesday,95.45,0.9297,88.739865,,
2004-07-15,Thursday,95.359,0.9341,89.0748419,,
2004-07-16,Friday,95.533,0.9339,89.2182687,,start
2004-07-17,Saturday,,,89.2182687,imputed from 73,
2004-07-18,Sunday,,,89.2182687,imputed from 74,
2004-07-19,Monday,95.505,0.939,89.67919499999999,,
2004-07-20,Tuesday,95.441,0.9471,90.39217110000001,,
2004-07-21,Wednesday,95.387,0.9458,90.2170246,,
2004-07-22,Thursday,95.387,0.9479,90.4173373,,
2004-07-23,Friday,95.469,0.9594,91.5929586,,start
2004-07-24,Saturday,,,91.5929586,imputed from 80,
2004-07-25,Sunday,,,91.5929586,imputed from 81,
2004-07-26,Monday,95.387,0.9486,90.4841082,,
2004-07-27,Tuesday,95.268,0.9582,91.28579760000001,,
2004-07-28,Wednesday,95.295,0.9599,91.4736705,,
2004-07-29,Thursday,95.35,0.9665,92.15577499999999,,
2004-07-30,Friday,95.441,0.9626,91.8715066,,start
2004-07-31,Saturday,,,91.8715066,imputed from 87,
2004-08-01,Sunday,,,91.8715066,imputed from 88,
2004-08-02,Monday,,0.96,91.8715066,imputed from 89,
2004-08-03,Tuesday,95.642,0.9698,92.7536116,,
2004-08-04,Wednesday,95.615,0.97,92.74655,,
2004-08-05,Thursday,95.624,0.9673,92.4970952,,
2004-08-06,Friday,96.007,0.9528,91.4754696,,start
2004-08-07,Saturday,,,91.4754696,imputed from 94,
2004-08-08,Sunday,,,91.4754696,imputed from 95,
2004-08-09,Monday,95.934,0.9517,91.3003878,,
2004-08-10,Tuesday,95.797,0.9554,91.5244538,,
2004-08-11,Wednesday,95.861,0.952,91.259672,,
2004-08-12,Thursday,95.888,0.9434,90.4607392,,
2004-08-13,Friday,95.879,0.946,90.701534,,start
2004-08-14,Saturday,,,90.701534,imputed from 101,
2004-08-15,Sunday,,,90.701534,imputed from 102,
2004-08-16,Monday,95.742,0.9491,90.86873220000001,,
2004-08-17,Tuesday,95.833,0.9508,91.1180164,,
2004-08-18,Wednesday,95.833,0.9546,91.48218179999999,,
2004-08-19,Thursday,95.943,0.9582,91.9325826,,
2004-08-20,Friday,95.943,0.9634,92.4314862,,start
2004-08-21,Saturday,,,92.4314862,imputed from 108,
2004-08-22,Sunday,,,92.4314862,imputed from 109,
2004-08-23,Monday,95.906,0.9708,93.1055448,,
2004-08-24,Tuesday,95.761,0.9739,93.2616379,,
2004-08-25,Wednesday,95.751,0.9757,93.4242507,,
2004-08-26,Thursday,95.797,0.9734,93.2487998,,
2004-08-27,Friday,95.807,0.9767,93.5746969,,start
2004-08-28,Saturday,,,93.5746969,imputed from 115,
2004-08-29,Sunday,,,93.5746969,imputed from 116,
2004-08-30,Monday,95.816,0.9708,93.0181728,,
2004-08-31,Tuesday,95.926,0.9646,92.53021960000001,,
2004-09-01,Wednesday,95.88,0.9637,92.39955599999999,,
2004-09-02,Thursday,95.816,0.9705,92.989428,,
2004-09-03,Friday,95.659,0.9775,93.50667250000001,,start
2004-09-04,Saturday,,,93.50667250000001,imputed from 122,
2004-09-05,Sunday,,,93.50667250000001,imputed from 123,
2004-09-06,Monday,,0.9786,93.50667250000001,imputed from 124,
2004-09-07,Tuesday,95.623,0.9844,94.1312812,,
2004-09-08,Wednesday,95.687,0.977,93.486199,,
2004-09-09,Thursday,95.659,0.979,93.650161,,
2004-09-10,Friday,95.77,0.9747,93.347019,,start
2004-09-11,Saturday,,,93.347019,imputed from 129,
2004-09-12,Sunday,,,93.347019,imputed from 130,
2004-09-13,Monday,95.779,0.9673,92.6470267,,
2004-09-14,Tuesday,95.77,0.973,93.18421,,
2004-09-15,Wednesday,95.742,0.9795,93.779289,,
2004-09-16,Thursday,95.853,0.983,94.22349899999999,,
2004-09-17,Friday,95.862,0.9771,93.6667602,,start
2004-09-18,Saturday,,,93.6667602,imputed from 136,
2004-09-19,Sunday,,,93.6667602,imputed from 137,
2004-09-20,Monday,95.88,0.9822,94.17333599999999,,
2004-09-21,Tuesday,95.816,0.9738,93.3056208,,
2004-09-22,Wednesday,95.853,0.9826,94.1851578,,
2004-09-23,Thursday,95.807,0.9851,94.3794757,,
2004-09-24,Friday,95.77,0.9901,94.821877,,start
2004-09-25,Saturday,,,94.821877,imputed from 143,
2004-09-26,Sunday,,,94.821877,imputed from 144,
2004-09-27,Monday,95.825,0.9909,94.95299250000001,,
2004-09-28,Tuesday,95.843,0.99,94.88457,,
2004-09-29,Wednesday,95.807,0.991,94.944737,,
2004-09-30,Thursday,95.779,0.9878,94.6104962,,
2004-10-01,Friday,95.742,0.9908,94.8611736,,start
2004-10-02,Saturday,,,94.8611736,imputed from 150,
2004-10-03,Sunday,,,94.8611736,imputed from 151,
2004-10-04,Monday,95.751,0.9947,95.24351970000001,,
2004-10-05,Tuesday,95.779,1.0005,95.8268895,,
2004-10-06,Wednesday,95.751,1.0045,96.1818795,,
2004-10-07,Thursday,95.733,1.0028,96.00105239999999,,
2004-10-08,Friday,95.807,0.9994,95.7495158,,start
2004-10-09,Saturday,,,95.7495158,imputed from 157,
2004-10-10,Sunday,,,95.7495158,imputed from 158,
2004-10-11,Monday,,0.9964,95.7495158,imputed from 159,
