date,weekday,XB1_Comdty_PX-LAST-CHF,imputed,XB1_Comdty_start
2005-10-04,Tuesday,,,excluded
2005-10-05,Wednesday,,,excluded
2005-10-06,Thursday,,,excluded
2005-10-07,Friday,0.73191,,start
2005-10-08,Saturday,0.73191,imputed from 3,
2005-10-09,Sunday,0.73191,imputed from 4,
2005-10-10,Monday,0.73078,,
2005-10-11,Tuesday,0.75082,,
2005-10-12,Wednesday,0.75055,,
2005-10-13,Thursday,0.73479,,
2005-10-14,Friday,0.71845,,start
2005-10-15,Saturday,0.71845,imputed from 10,
2005-10-16,Sunday,0.71845,imputed from 11,
2005-10-17,Monday,0.74467,,
2005-10-18,Tuesday,0.72377,,
2005-10-19,Wednesday,0.70684,,
2005-10-20,Thursday,0.68119,,
2005-10-21,Friday,0.69904,,start
2005-10-22,Saturday,0.69904,imputed from 17,
2005-10-23,Sunday,0.69904,imputed from 18,
2005-10-24,Monday,0.67889,,
2005-10-25,Tuesday,0.69746,,
2005-10-26,Wednesday,0.67507,,
2005-10-27,Thursday,0.67427,,
2005-10-28,Friday,0.69244,,start
2005-10-29,Saturday,0.69244,imputed from 24,
2005-10-30,Sunday,0.69244,imputed from 25,
2005-10-31,Monday,0.6709,,
2005-11-01,Tuesday,0.67648,,
2005-11-02,Wednesday,0.66272,,
2005-11-03,Thursday,0.69016,,
2005-11-04,Friday,0.68959,,start
2005-11-05,Saturday,0.68959,imputed from 31,
2005-11-06,Sunday,0.68959,imputed from 32,
2005-11-07,Monday,0.68002,,
2005-11-08,Tuesday,0.69257,,
2005-11-09,Wednesday,0.68609,,
2005-11-10,Thursday,0.66476,,
2005-11-11,Friday,0.66525,,start
2005-11-12,Saturday,0.66525,imputed from 38,
2005-11-13,Sunday,0.66525,imputed from 39,
2005-11-14,Monday,0.66883,,
2005-11-15,Tuesday,0.6554,,
2005-11-16,Wednesday,0.66488,,
2005-11-17,Thursday,0.65319,,
2005-11-18,Friday,0.65089,,start
2005-11-19,Saturday,0.65089,imputed from 45,
2005-11-20,Sunday,0.65089,imputed from 46,
2005-11-21,Monday,0.65421,,
2005-11-22,Tuesday,0.67588,,
2005-11-23,Wednesday,0.66881,,
2005-11-24,Thursday,0.66881,imputed from 50,
2005-11-25,Friday,0.66881,imputed from 50,start
2005-11-26,Saturday,0.66881,imputed from 52,
2005-11-27,Sunday,0.66881,imputed from 53,
2005-11-28,Monday,0.64677,,
2005-11-29,Tuesday,0.63911,,
2005-11-30,Wednesday,0.66023,,
2005-12-01,Thursday,0.69097,,
2005-12-02,Friday,0.70684,,start
2005-12-03,Saturday,0.70684,imputed from 59,
2005-12-04,Sunday,0.70684,imputed from 60,
2005-12-05,Monday,0.69277,,
2005-12-06,Tuesday,0.69115,,
2005-12-07,Wednesday,0.69019,,
2005-12-08,Thursday,0.71183,,
2005-12-09,Friday,0.70259,,start
2005-12-10,Saturday,0.70259,imputed from 66,
2005-12-11,Sunday,0.70259,imputed from 67,
2005-12-12,Monday,0.71386,,
2005-12-13,Tuesday,0.71938,,
2005-12-14,Wednesday,0.71024,,
2005-12-15,Thursday,0.71303,,
2005-12-16,Friday,0.68688,,start
2005-12-17,Saturday,0.68688,imputed from 73,
2005-12-18,Sunday,0.68688,imputed from 74,
2005-12-19,Monday,0.66984,,
2005-12-20,Tuesday,0.67138,,
2005-12-21,Wednesday,0.68191,,
2005-12-22,Thursday,0.68607,,
2005-12-23,Friday,0.69128,,start
2005-12-24,Saturday,0.69128,imputed from 80,
2005-12-25,Sunday,0.69128,imputed from 81,
2005-12-26,Monday,0.69128,imputed from 82,
2005-12-27,Tuesday,0.68025,,
2005-12-28,Wednesday,0.70231,,
