date,weekday,KAA1_Comdty_PX-LAST,KAA1_Comdty_CURRENCY-KRW,KAA1_Comdty_PX-LAST-CHF,imputed,KAA1_Comdty_start
2008-02-26,Tuesday,,0.1137,,,excluded
2008-02-27,Wednesday,,0.1134,,,excluded
2008-02-28,Thursday,,0.1123,,,excluded
2008-02-29,Friday,89.18,0.1105,0.0985439,,start
2008-03-01,Saturday,,,0.0985439,imputed from 3,
2008-03-02,Sunday,,,0.0985439,imputed from 4,
2008-03-03,Monday,89.43,0.11,0.098373,,
2008-03-04,Tuesday,89.31,0.1095,0.09779445,,
2008-03-05,Wednesday,89.43,0.1092,0.09765756000000002,,
2008-03-06,Thursday,89.05,0.1068,0.0951054,,
2008-03-07,Friday,88.93,0.1071,0.09524403000000001,,start
2008-03-08,Saturday,,,0.09524403000000001,imputed from 10,
2008-03-09,Sunday,,,0.09524403000000001,imputed from 11,
2008-03-10,Monday,88.27,0.1052,0.09286004,,
2008-03-11,Tuesday,88.17,0.1073,0.09460641,,
2008-03-12,Wednesday,88.4,0.1044,0.09228960000000001,,
2008-03-13,Thursday,88.06,0.103,0.0907018,,
2008-03-14,Friday,88.4,0.1002,0.0885768,,start
2008-03-15,Saturday,,,0.0885768,imputed from 17,
2008-03-16,Sunday,,,0.0885768,imputed from 18,
2008-03-17,Monday,87.57,0.0964,0.08441747999999999,,
2008-03-18,Tuesday,88.64,0.0996,0.08828543999999999,,
2008-03-19,Wednesday,87.06,0.0987,0.08592822,,
2008-03-20,Thursday,87.31,0.1001,0.08739730999999999,,
2008-03-21,Friday,88.13,0.1007,0.08874690999999998,,start
2008-03-22,Saturday,,,0.08874690999999998,imputed from 24,
2008-03-23,Sunday,,,0.08874690999999998,imputed from 25,
2008-03-24,Monday,87.48,0.103,0.09010439999999999,,
2008-03-25,Tuesday,87.31,0.1023,0.08931813,,
2008-03-26,Wednesday,87.58,0.0997,0.08731726000000001,,
2008-03-27,Thursday,88.06,0.1002,0.08823612,,
2008-03-28,Friday,88.47,0.1004,0.08882388000000001,,start
2008-03-29,Saturday,,,0.08882388000000001,imputed from 31,
2008-03-30,Sunday,,,0.08882388000000001,imputed from 32,
2008-03-31,Monday,88.93,0.1002,0.08910786,,
2008-04-01,Tuesday,88.8,0.1033,0.0917304,,
2008-04-02,Wednesday,88.89,0.1034,0.09191226000000001,,
2008-04-03,Thursday,88.89,0.1034,0.09191226000000001,,
2008-04-04,Friday,89.05,0.103,0.09172149999999998,,start
2008-04-05,Saturday,,,0.09172149999999998,imputed from 38,
2008-04-06,Sunday,,,0.09172149999999998,imputed from 39,
2008-04-07,Monday,89.04,0.104,0.0926016,,
2008-04-08,Tuesday,89.29,0.1036,0.09250444,,
2008-04-09,Wednesday,,0.1023,0.09250444,imputed from 42,
2008-04-10,Thursday,90.05,0.1032,0.0929316,,
2008-04-11,Friday,90.14,0.1023,0.09221322000000001,,start
2008-04-12,Saturday,,,0.09221322000000001,imputed from 45,
2008-04-13,Sunday,,,0.09221322000000001,imputed from 46,
2008-04-14,Monday,90.14,0.1018,0.09176252,,
2008-04-15,Tuesday,89.98,0.1014,0.09123972,,
2008-04-16,Wednesday,90.03,0.1011,0.09102033000000001,,
2008-04-17,Thursday,90.03,0.1006,0.09057018,,
2008-04-18,Friday,90.03,0.1021,0.09192062999999999,,start
2008-04-19,Saturday,,,0.09192062999999999,imputed from 52,
2008-04-20,Sunday,,,0.09192062999999999,imputed from 53,
2008-04-21,Monday,89.54,0.1017,0.09106218,,
2008-04-22,Tuesday,89.69,0.1003,0.08995906999999999,,
2008-04-23,Wednesday,89.69,0.1025,0.09193225,,
2008-04-24,Thursday,89.69,0.1039,0.09318791000000001,,
2008-04-25,Friday,89.94,0.1039,0.09344766,,start
2008-04-26,Saturday,,,0.09344766,imputed from 59,
2008-04-27,Sunday,,,0.09344766,imputed from 60,
2008-04-28,Monday,89.94,0.1037,0.09326778,,
2008-04-29,Tuesday,89.82,0.1034,0.09287388,,
2008-04-30,Wednesday,89.82,0.1032,0.09269423999999998,,
2008-05-01,Thursday,,0.1046,0.09269423999999998,imputed from 64,
2008-05-02,Friday,89.58,0.1046,0.09370068,,start
2008-05-03,Saturday,,,0.09370068,imputed from 66,
2008-05-04,Sunday,,,0.09370068,imputed from 67,
2008-05-05,Monday,,0.1044,0.09370068,imputed from 68,
2008-05-06,Tuesday,89.58,0.1037,0.09289446,,
2008-05-07,Wednesday,89.13,0.1022,0.09109086,,
2008-05-08,Thursday,88.6,0.101,0.08948600000000001,,
2008-05-09,Friday,87.77,0.0998,0.08759445999999999,,start
2008-05-10,Saturday,,,0.08759445999999999,imputed from 73,
2008-05-11,Sunday,,,0.08759445999999999,imputed from 74,
2008-05-12,Monday,,0.1002,0.08759445999999999,imputed from 75,
2008-05-13,Tuesday,87.58,0.1007,0.08819305999999999,,
2008-05-14,Wednesday,87.78,0.1008,0.08848224,,
2008-05-15,Thursday,87.84,0.1013,0.08898191999999999,,
2008-05-16,Friday,87.71,0.1009,0.08849939,,start
2008-05-17,Saturday,,,0.08849939,imputed from 80,
2008-05-18,Sunday,,,0.08849939,imputed from 81,
2008-05-19,Monday,86.48,0.1012,0.08751776,,
