date,weekday,OAT1_Comdty_PX-LAST,OAT1_Comdty_CURRENCY-EUR,OAT1_Comdty_PX-LAST-CHF,imputed,OAT1_Comdty_start
2012-04-17,Tuesday,,1.20148,,,excluded
2012-04-18,Wednesday,,1.20204,,,excluded
2012-04-19,Thursday,,1.20222,,,excluded
2012-04-20,Friday,94.13,1.20161,113.1075493,,start
2012-04-21,Saturday,,,113.1075493,imputed from 3,
2012-04-22,Sunday,,,113.1075493,imputed from 4,
2012-04-23,Monday,94.11,1.20203,113.12304329999999,,
2012-04-24,Tuesday,94.5,1.20155,113.54647499999999,,
2012-04-25,Wednesday,94.92,1.20173,114.0682116,,
2012-04-26,Thursday,95.07,1.20174,114.2494218,,
2012-04-27,Friday,95.01,1.20156,114.1602156,,start
2012-04-28,Saturday,,,114.1602156,imputed from 10,
2012-04-29,Sunday,,,114.1602156,imputed from 11,
2012-04-30,Monday,95.32,1.20138,114.51554159999998,,
2012-05-01,Tuesday,,1.20161,114.51554159999998,imputed from 13,
2012-05-02,Wednesday,95.31,1.20154,114.5187774,,
2012-05-03,Thursday,95.77,1.20147,115.0647819,,
2012-05-04,Friday,96.26,1.20135,115.64195099999999,,start
2012-05-05,Saturday,,,115.64195099999999,imputed from 17,
2012-05-06,Sunday,,,115.64195099999999,imputed from 18,
2012-05-07,Monday,96.55,1.20141,115.99613550000001,,
2012-05-08,Tuesday,96.43,1.20118,115.8297874,,
2012-05-09,Wednesday,96.09,1.20107,115.41081630000001,,
2012-05-10,Thursday,96.39,1.20115,115.7788485,,
2012-05-11,Friday,96.51,1.20118,115.9258818,,start
2012-05-12,Saturday,,,115.9258818,imputed from 24,
2012-05-13,Sunday,,,115.9258818,imputed from 25,
2012-05-14,Monday,96.29,1.20108,115.6519932,,
2012-05-15,Tuesday,95.81,1.20107,115.0745167,,
2012-05-16,Wednesday,95.92,1.20106,115.2056752,,
2012-05-17,Thursday,96.11,1.20104,115.43195440000001,,
2012-05-18,Friday,96.26,1.20115,115.622699,,start
2012-05-19,Saturday,,,115.622699,imputed from 31,
2012-05-20,Sunday,,,115.622699,imputed from 32,
2012-05-21,Monday,96.26,1.20123,115.6303998,,
2012-05-22,Tuesday,96.74,1.20121,116.2050554,,
2012-05-23,Wednesday,97.2,1.20102,116.739144,,
2012-05-24,Thursday,98.56,1.2013,118.40012800000001,,
2012-05-25,Friday,98.84,1.2012,118.72660800000001,,start
2012-05-26,Saturday,,,118.72660800000001,imputed from 38,
2012-05-27,Sunday,,,118.72660800000001,imputed from 39,
2012-05-28,Monday,98.68,1.202,118.61336,,
2012-05-29,Tuesday,98.86,1.20101,118.73184859999999,,
2012-05-30,Wednesday,98.91,1.20082,118.7731062,,
2012-05-31,Thursday,100.24,1.20115,120.40327599999999,,
2012-06-01,Friday,101.18,1.20129,121.5465222,,start
2012-06-02,Saturday,,,121.5465222,imputed from 45,
2012-06-03,Sunday,,,121.5465222,imputed from 46,
2012-06-04,Monday,100.8,1.20106,121.066848,,
2012-06-05,Tuesday,100.51,1.20104,120.71653040000001,,
2012-06-06,Wednesday,99.94,1.20071,119.9989574,,
2012-06-07,Thursday,98.77,1.20106,118.6286962,,
2012-06-08,Friday,99.05,1.20138,118.99668899999999,,start
2012-06-09,Saturday,,,118.99668899999999,imputed from 52,
2012-06-10,Sunday,,,118.99668899999999,imputed from 53,
2012-06-11,Monday,98.77,1.20102,118.6247454,,
2012-06-12,Tuesday,97.68,1.20111,117.3244248,,
2012-06-13,Wednesday,97.59,1.20107,117.21242130000002,,
2012-06-14,Thursday,97.91,1.20102,117.5918682,,
2012-06-15,Friday,98.66,1.20101,118.49164659999998,,start
2012-06-16,Saturday,,,118.49164659999998,imputed from 59,
2012-06-17,Sunday,,,118.49164659999998,imputed from 60,
2012-06-18,Monday,98.44,1.20095,118.22151799999999,,
2012-06-19,Tuesday,98.11,1.20091,117.8212801,,
2012-06-20,Wednesday,97.97,1.20116,117.6776452,,
2012-06-21,Thursday,98.17,1.20105,117.9070785,,
2012-06-22,Friday,98.55,1.20097,118.35559350000001,,start
2012-06-23,Saturday,,,118.35559350000001,imputed from 66,
2012-06-24,Sunday,,,118.35559350000001,imputed from 67,
2012-06-25,Monday,98.66,1.20099,118.4896734,,
2012-06-26,Tuesday,98.39,1.20101,118.16737389999999,,
2012-06-27,Wednesday,98.28,1.20106,118.0401768,,
2012-06-28,Thursday,98.06,1.20105,117.774963,,
2012-06-29,Friday,97.98,1.20118,117.6916164,,start
2012-06-30,Saturday,,,117.6916164,imputed from 73,
2012-07-01,Sunday,,,117.6916164,imputed from 74,
2012-07-02,Monday,98.74,1.20124,118.6104376,,
2012-07-03,Tuesday,99.05,1.20109,118.9679645,,
2012-07-04,Wednesday,99.11,1.2012,119.050932,,
2012-07-05,Thursday,99.42,1.20118,119.4213156,,
2012-07-06,Friday,100.42,1.20093,120.59739060000001,,start
2012-07-07,Saturday,,,120.59739060000001,imputed from 80,
2012-07-08,Sunday,,,120.59739060000001,imputed from 81,
2012-07-09,Monday,100.09,1.20099,120.2070891,,
2012-07-10,Tuesday,100.28,1.20092,120.4282576,,
2012-07-11,Wednesday,100.87,1.20083,121.12772210000001,,
2012-07-12,Thursday,101.43,1.20083,121.80018690000001,,
2012-07-13,Friday,101.47,1.20092,121.8573524,,start
2012-07-14,Saturday,,,121.8573524,imputed from 87,
2012-07-15,Sunday,,,121.8573524,imputed from 88,
2012-07-16,Monday,102.19,1.20105,122.7352995,,
2012-07-17,Tuesday,102.64,1.20136,123.3075904,,
2012-07-18,Wednesday,102.44,1.2011,123.040684,,
2012-07-19,Thursday,102.79,1.20102,123.4528458,,
2012-07-20,Friday,102.74,1.20106,123.3969044,,start
2012-07-21,Saturday,,,123.3969044,imputed from 94,
2012-07-22,Sunday,,,123.3969044,imputed from 95,
2012-07-23,Monday,102.03,1.2009,122.52782700000002,,
2012-07-24,Tuesday,101.39,1.20101,121.77040389999999,,
2012-07-25,Wednesday,101.14,1.20104,121.47318560000001,,
2012-07-26,Thursday,101.62,1.20099,122.0446038,,
2012-07-27,Friday,101.54,1.20118,121.9678172,,start
2012-07-28,Saturday,,,121.9678172,imputed from 101,
2012-07-29,Sunday,,,121.9678172,imputed from 102,
2012-07-30,Monday,101.85,1.20117,122.3391645,,
2012-07-31,Tuesday,102.73,1.20127,123.40646710000001,,
2012-08-01,Wednesday,102.43,1.20163,123.0829609,,
